Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,Scientific_Name,SRA Study
ERR16151729,OTHER,276,756685479,PRJEB106823,SAMEA120955714,202289537,OTTAWA HOSPITAL RESEARCH INSTITUTE,2022,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541250,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T17:18:00Z,1,S001,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151734,OTHER,278,213722245,PRJEB106823,SAMEA120955719,57339896,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541255,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:13:00Z,1,S006,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151740,OTHER,289,4115726822,PRJEB106823,SAMEA120955725,1720064595,OTTAWA HOSPITAL RESEARCH INSTITUTE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541261,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-15T06:25:00Z,1,S012,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151743,OTHER,272,292054220,PRJEB106823,SAMEA120955728,78436568,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541264,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T18:58:00Z,1,S015,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151744,OTHER,270,267936732,PRJEB106823,SAMEA120955729,72137963,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541265,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T18:57:00Z,1,S016,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151745,OTHER,270,832863960,PRJEB106823,SAMEA120955730,349907088,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541266,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-15T06:32:00Z,1,S017,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151747,OTHER,279,587420897,PRJEB106823,SAMEA120955732,156773700,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541268,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:17:00Z,1,S019,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151755,OTHER,266,281654880,PRJEB106823,SAMEA120955740,76015667,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541276,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-09T21:07:00Z,1,S027,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151758,OTHER,285,2745967313,PRJEB106823,SAMEA120955743,1154613200,OTTAWA HOSPITAL RESEARCH INSTITUTE,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541279,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-15T23:59:00Z,1,S030,Severe acute respiratory syndrome coronavirus 2,ERP187874
ERR16151760,OTHER,269,380125625,PRJEB106823,SAMEA120955745,160215586,OTTAWA HOSPITAL RESEARCH INSTITUTE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",2026-01-29,2026-01-29,4,4,ERX15541281,Canada,North America,Canada,NextSeq 550,not applicable,PAIRED,Hybrid Selection,METATRANSCRIPTOMIC,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2026-02-06T00:00:00Z,2026-02-15T06:30:00Z,1,S033,Severe acute respiratory syndrome coronavirus 2,ERP187874
