Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,run_date (run),Sample Name,Sample_Name,Sequencing_method,sewage_type,SRA Study,Submitter_Id,wastewater/sludge_environmental_package,wastewater_type,geographic_location_(region_and_locality)
ERR5922333,RNA-Seq,502,205750724,PRJEB44932,SAMEA8745890,89541277,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2020-07-23,SARS-CoV2,public,"cram,activ_sars2_vcf,sra","s3,gs","s3.us-east-1,gs.US",2021-05-17,2021-05-17,2021-05-17,2021-05-17,urban biome,city,sewage,ERX5562935,SAMEA8745890,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2021-05-17T12:31:43Z,2021-05-17T12:31:43Z,public,Illumina MiSeq,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2021-05-19T00:00:00Z,2020-12-15,SAMEA8745890,10_2020_7_23,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2020_7_23,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861200,RNA-Seq,502,2778133762,PRJEB44932,SAMEA110148731,387121130,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-24,SARS-CoV2,public,"activ_sars2_vcf,cram,sra","gs,s3","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406278,SAMEA110148731,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148731,05_2021_11_24,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_24,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861201,RNA-Seq,502,2566883126,PRJEB44932,SAMEA110148732,377298030,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-25,SARS-CoV2,public,"activ_sars2_vcf,cram,sra","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406279,SAMEA110148732,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148732,05_2021_11_25,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_25,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861202,RNA-Seq,502,3277425974,PRJEB44932,SAMEA110148733,385574540,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-26,SARS-CoV2,public,"activ_sars2_vcf,sra,cram","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406280,SAMEA110148733,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148733,05_2021_11_26,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_26,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861203,RNA-Seq,502,7853210190,PRJEB44932,SAMEA110148734,933771900,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-27,SARS-CoV2,public,"cram,sra,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406281,SAMEA110148734,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148734,05_2021_11_27,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_27,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861204,RNA-Seq,502,4232126562,PRJEB44932,SAMEA110148735,526575946,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-28,SARS-CoV2,public,"cram,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406282,SAMEA110148735,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148735,05_2021_11_28,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_28,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861205,RNA-Seq,502,5016296746,PRJEB44932,SAMEA110148736,631819953,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-29,SARS-CoV2,public,"activ_sars2_vcf,cram,sra","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406283,SAMEA110148736,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148736,05_2021_11_29,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_29,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861206,RNA-Seq,502,2195079838,PRJEB44932,SAMEA110148737,286333410,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-30,SARS-CoV2,public,"sra,activ_sars2_vcf,cram","s3,gs","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406284,SAMEA110148737,Switzerland,Europe,Switzerland,46.0096,8.9177,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148737,05_2021_11_30,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,05_2021_11_30,wastewater/sludge,human waste,TI - Lugano - CDA Lugano
ERR9861207,RNA-Seq,502,4104611534,PRJEB44932,SAMEA110148738,628090008,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-24,SARS-CoV2,public,"cram,activ_sars2_vcf,sra","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406285,SAMEA110148738,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148738,10_2021_11_24,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_24,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861208,RNA-Seq,502,8540292570,PRJEB44932,SAMEA110148739,1070025803,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-25,SARS-CoV2,public,"activ_sars2_vcf,sra,cram","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406286,SAMEA110148739,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148739,10_2021_11_25,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_25,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
