Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,Collection_Date,collector_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,library_preparation_date (exp),LibraryLayout,LibrarySelection,LibrarySource,name_of_the_sampling_site,nucleic_acid_amplification,nucleic_acid_extraction,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,sewage_type,SRA Study,Submitter_Id,surveillance_target
ERR7565674,AMPLICON,600,196025400,PRJEB48206,SAMEA11458556,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",107973101,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-03,Rotterdam wastewater monitoring team,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136266,SAMEA11458556,Netherlands,Europe,Netherlands,"Rotterdam\, Bergschenhoek",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:43Z,2023-03-01T08:18:43Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Bergschenhoek,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458556,iRun102_BC01,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC01,2697049
ERR7565675,AMPLICON,600,223538400,PRJEB48206,SAMEA11458557,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",117788765,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136267,SAMEA11458557,Netherlands,Europe,Netherlands,"Rotterdam\, Total Dokhaven",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:43Z,2023-03-01T08:18:43Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Total Dokhaven,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458557,iRun102_BC02,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC02,2697049
ERR7565676,AMPLICON,600,250773000,PRJEB48206,SAMEA11458558,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",148190872,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136268,SAMEA11458558,Netherlands,Europe,Netherlands,"Rotterdam\, Ommoord",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:43Z,2023-03-01T08:18:43Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Ommoord,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:33:00Z,1,SAMEA11458558,iRun102_BC03,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC03,2697049
ERR7565677,AMPLICON,600,241416600,PRJEB48206,SAMEA11458559,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",127676186,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136269,SAMEA11458559,Netherlands,Europe,Netherlands,"Rotterdam\, Katendrecht",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:43Z,2023-03-01T08:18:43Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Katendrecht,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458559,iRun102_BC04,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC04,2697049
ERR7565678,AMPLICON,600,230632200,PRJEB48206,SAMEA11458560,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",120482874,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136270,SAMEA11458560,Netherlands,Europe,Netherlands,"Rotterdam\, Everlo Waalhaven",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Everlo Waalhaven,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-08-08T16:48:00Z,1,SAMEA11458560,iRun102_BC05,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC05,2697049
ERR7565679,AMPLICON,600,271866600,PRJEB48206,SAMEA11458561,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",143750020,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136271,SAMEA11458561,Netherlands,Europe,Netherlands,"Rotterdam\, Pretorialaan-Zuidplein",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Pretorialaan-Zuidplein,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:36:00Z,1,SAMEA11458561,iRun102_BC06,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC06,2697049
ERR7565680,AMPLICON,600,313138800,PRJEB48206,SAMEA11458562,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",162213512,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136272,SAMEA11458562,Netherlands,Europe,Netherlands,"Rotterdam\, Wolphaertsbocht",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:19:47Z,2023-03-01T08:19:47Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Wolphaertsbocht,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458562,iRun102_BC07,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC07,2697049
ERR7565681,AMPLICON,600,240914400,PRJEB48206,SAMEA11458563,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",128803980,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136273,SAMEA11458563,Netherlands,Europe,Netherlands,"Rotterdam\, Heemraadsplein",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Heemraadsplein,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458563,iRun102_BC08,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC08,2697049
ERR7565682,AMPLICON,600,311104200,PRJEB48206,SAMEA11458564,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",164144541,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136274,SAMEA11458564,Netherlands,Europe,Netherlands,"Rotterdam\, Pretorialaan",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Pretorialaan,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458564,iRun102_BC09,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC09,2697049
ERR7565683,AMPLICON,600,337287600,PRJEB48206,SAMEA11458565,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",176721586,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-05,Rotterdam wastewater monitoring team,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136275,SAMEA11458565,Netherlands,Europe,Netherlands,"Rotterdam\, Bergschenhoek",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Bergschenhoek,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458565,iRun102_BC10,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC10,2697049
