Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,name_of_the_sampling_site,Organism,Platform,population_size_of_the_catchment_area,ReleaseDate,create_date,version,Sample Name,Sample_name,sample_storage_temperature,sample_storage_time,sampling_time_point,Scientific_Name,sewage_type,SRA Study,Submitter_Id,surveillance_target,geographic_location_(latitude),geographic_location_(longitude)
ERR12330860,AMPLICON,185,833359305,PRJEB61810,SAMEA114705162,472537823,UPPSALA UNIVERSITY,2023-01-03,public,"sra,bam,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707736,SAMEA114705162,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-1,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T02:43:00Z,1,SAMEA114705162,Malmö-1,4,1,2023-01-03,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-1,SARS-CoV-2,55.63,13.04
ERR12330861,AMPLICON,184,857751346,PRJEB61810,SAMEA114705163,483021287,UPPSALA UNIVERSITY,2023-01-10,public,"run.zq,sra,bam","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707737,SAMEA114705163,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-2,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T04:57:00Z,1,SAMEA114705163,Malmö-2,4,1,2023-01-10,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-2,SARS-CoV-2,55.63,13.04
ERR12330862,AMPLICON,182,1157364736,PRJEB61810,SAMEA114705164,654396813,UPPSALA UNIVERSITY,2023-01-17,public,"bam,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707738,SAMEA114705164,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-3,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T05:00:00Z,1,SAMEA114705164,Malmö-3,4,1,2023-01-17,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-3,SARS-CoV-2,55.63,13.04
ERR12330864,AMPLICON,183,1212820972,PRJEB61810,SAMEA114705166,681695058,UPPSALA UNIVERSITY,2023-01-31,public,"bam,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707740,SAMEA114705166,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-05,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T02:31:00Z,1,SAMEA114705166,Malmö-05,4,1,2023-01-31,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-05,SARS-CoV-2,55.63,13.04
ERR12330865,AMPLICON,185,1263280790,PRJEB61810,SAMEA114705167,705534416,UPPSALA UNIVERSITY,2023-02-07,public,"bam,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707741,SAMEA114705167,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-06,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T02:45:00Z,1,SAMEA114705167,Malmö-06,4,1,2023-02-07,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-06,SARS-CoV-2,55.63,13.04
ERR12330867,AMPLICON,104,82657899,PRJEB61810,SAMEA114705169,55571438,UPPSALA UNIVERSITY,2023-02-21,public,"run.zq,sra,bam","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707743,SAMEA114705169,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-08,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T04:54:00Z,1,SAMEA114705169,Malmö-08,4,1,2023-02-21,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-08,SARS-CoV-2,55.63,13.04
ERR12330868,AMPLICON,184,768938508,PRJEB61810,SAMEA114705170,438359427,UPPSALA UNIVERSITY,2023-02-28,public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707744,SAMEA114705170,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-09,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T04:55:00Z,1,SAMEA114705170,Malmö-09,4,1,2023-02-28,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-09,SARS-CoV-2,55.63,13.04
ERR12330869,AMPLICON,175,719411534,PRJEB61810,SAMEA114705171,418314634,UPPSALA UNIVERSITY,2023-03-07,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707745,SAMEA114705171,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-10,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-06T02:31:00Z,1,SAMEA114705171,Malmö-10,4,1,2023-03-07,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-10,SARS-CoV-2,55.63,13.04
ERR12330870,AMPLICON,184,684110549,PRJEB61810,SAMEA114705172,390001889,UPPSALA UNIVERSITY,2023-03-14,public,"sra,bam,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707746,SAMEA114705172,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-11,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-04T22:57:00Z,1,SAMEA114705172,Malmö-11,4,1,2023-03-14,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-11,SARS-CoV-2,55.63,13.04
ERR12330871,AMPLICON,178,701182734,PRJEB61810,SAMEA114705173,402524003,UPPSALA UNIVERSITY,2023-03-21,public,"run.zq,bam,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:41Z,2023-11-30,2023-11-30T20:54:41Z,ERX11707747,SAMEA114705173,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:41Z,2023-11-30T20:54:41Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-12,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T02:40:00Z,1,SAMEA114705173,Malmö-12,4,1,2023-03-21,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-12,SARS-CoV-2,55.63,13.04
