Run,Assay Type,BioProject,BioSample,broad-scale_environmental_context,Center Name,Collection_Date,Consent,Depth,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version
ERR11967138,AMPLICON,PRJEB65603,SAMEA114317226,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351417,Denmark,Europe,Denmark,55.60864,12.45051,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317226,Avedøre_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Avedøre_Renseanlæg_2023-08-17,,,,,,,,
ERR11967147,AMPLICON,PRJEB65603,SAMEA114317235,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351426,Denmark,Europe,Denmark,55.71936,11.72608,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317235,Holbæk_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Holbæk_Renseanlæg_2023-08-17,,,,,,,,
ERR11967135,AMPLICON,PRJEB65603,SAMEA114317223,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351414,Denmark,Europe,Denmark,57.45903,10.00571,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317223,Hjørring_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Hjørring_Renseanlæg_2023-08-15,145,193551977,74117616,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967140,AMPLICON,PRJEB65603,SAMEA114317228,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351419,Denmark,Europe,Denmark,56.14058,10.20975,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317228,Marselisborg_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Marselisborg_Renseanlæg_2023-08-17,145,192761174,73416378,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:32:00Z,1
ERR11967144,AMPLICON,PRJEB65603,SAMEA114317232,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351423,Denmark,Europe,Denmark,55.5739,12.283,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317232,Mosede_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Mosede_Renseanlæg_2023-08-15,145,188165970,72362138,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967223,AMPLICON,PRJEB65603,SAMEA114317311,building,STATENS SERUM INSTITUT,2023-08-10,public,0,2023-09-11,2023-09-11,wastewater,ERX11351502,Denmark,Europe,Denmark,57.04815,9.86547,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317311,Aalborg_Renseanlæg_Vest_2023-08-10,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Aalborg_Renseanlæg_Vest_2023-08-10,146,132825833,51790249,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967224,AMPLICON,PRJEB65603,SAMEA114317312,building,STATENS SERUM INSTITUT,2023-08-08,public,0,2023-09-11,2023-09-11,wastewater,ERX11351503,Denmark,Europe,Denmark,55.54043,8.42243,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317312,Esbjerg_Renseanlæg_Vest_2023-08-08,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Esbjerg_Renseanlæg_Vest_2023-08-08,146,161989801,62234452,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967227,AMPLICON,PRJEB65603,SAMEA114317315,building,STATENS SERUM INSTITUT,2023-08-08,public,0,2023-09-11,2023-09-11,wastewater,ERX11351506,Denmark,Europe,Denmark,57.04435,10.0474,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317315,Aalborg_Renseanlæg_Øst_2023-08-08,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Aalborg_Renseanlæg_Øst_2023-08-08,146,116319892,45278271,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967232,AMPLICON,PRJEB65603,SAMEA114317320,building,STATENS SERUM INSTITUT,2023-08-08,public,0,2023-09-11,2023-09-11,wastewater,ERX11351511,Denmark,Europe,Denmark,55.55232,9.72176,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317320,Fredericia_Spildevand_2023-08-08,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Fredericia_Spildevand_2023-08-08,146,143381027,55302442,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:32:00Z,1
ERR11967233,AMPLICON,PRJEB65603,SAMEA114317321,building,STATENS SERUM INSTITUT,2023-08-08,public,0,2023-09-11,2023-09-11,wastewater,ERX11351512,Denmark,Europe,Denmark,55.69508,12.61494,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317321,Lynetten_Nordre_2023-08-08,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Lynetten_Nordre_2023-08-08,146,130937471,50287180,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
