Run,Assay Type,BioProject,BioSample,Center Name,collection_date,Consent,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_status,Instrument,isolation_source,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version
ERR13743913,OTHER,PRJEB76651,SAMEA115752535,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-03-27,public,2024-10-02,2024-10-02,2025-01-14,ERX12663495,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-02T00:00:00Z,SAMEA115752535,Waste023.2023-03-27_Trondheim,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-03-27_Trondheim,1186,119452405,103830270,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2024-10-09T03:39:00Z,1
ERR13743915,OTHER,PRJEB76651,SAMEA115752537,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-04-03,public,2024-10-02,2024-10-02,2025-01-14,ERX12663497,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-02T00:00:00Z,SAMEA115752537,Waste023.2023-04-03_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-04-03_Oslo,1185,219384916,190523740,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2024-10-09T01:24:00Z,1
ERR13743916,OTHER,PRJEB76651,SAMEA115752538,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-04-03,public,2024-10-02,2024-10-02,2025-01-14,ERX12663498,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-02T00:00:00Z,SAMEA115752538,Waste023.2023-04-03_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-04-03_Ullensaker,1189,90897433,79198342,"fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-10-09T21:30:00Z,1
ERR13743918,OTHER,PRJEB76651,SAMEA115752540,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-04-10,public,2024-10-02,2024-10-02,2025-01-14,ERX12663500,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-02T00:00:00Z,SAMEA115752540,Waste023.2023-04-10_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-04-10_Ullensaker,1189,249154611,216742137,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2024-10-09T01:18:00Z,1
ERR13743911,OTHER,PRJEB76651,SAMEA115752533,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-03-27,public,2024-10-02,2024-10-02,2025-01-14,ERX12663493,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-03T00:00:00Z,SAMEA115752533,Waste023.2023-03-27_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-03-27_Bergen,1189,365010712,316623774,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2024-10-09T17:53:00Z,1
ERR13743912,OTHER,PRJEB76651,SAMEA115752534,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-03-27,public,2024-10-02,2024-10-02,2025-01-14,ERX12663494,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-03T00:00:00Z,SAMEA115752534,Waste023.2023-03-27_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-03-27_Oslo,1186,109215795,95034788,"sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-10-09T03:52:00Z,1
ERR13743914,OTHER,PRJEB76651,SAMEA115752536,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-03-27,public,2024-10-02,2024-10-02,2025-01-14,ERX12663496,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-03T00:00:00Z,SAMEA115752536,Waste023.2023-03-27_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-03-27_Ullensaker,1183,100587263,87517853,"fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2024-10-09T03:50:00Z,1
ERR13743917,OTHER,PRJEB76651,SAMEA115752539,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2023-04-10,public,2024-10-02,2024-10-02,2025-01-14,ERX12663499,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2024-10-03T00:00:00Z,SAMEA115752539,Waste023.2023-04-10_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste023.2023-04-10_Oslo,1189,285780988,248497641,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-10-09T06:50:00Z,1
ERR13294548,OTHER,PRJEB76651,SAMEA115752387,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-03,public,2025-01-14,2025-01-14,2025-01-14,ERX12665410,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752387,Waste011.2022-10-03_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-03_Troms,,,,,,,,
ERR13294549,OTHER,PRJEB76651,SAMEA115752394,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-17,public,2025-01-14,2025-01-14,2025-01-14,ERX12665411,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752394,Waste011.2022-10-17_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-17_Troms,,,,,,,,
