Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR26363703,AMPLICON,302,402058942,PRJNA1027333,SAMN37791383,SARS-CoV-2: clinical or host-associated,181293769,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2023-05-01,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071039,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,60647_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_5-1-23,SRP465974
SRR26363704,AMPLICON,302,238243874,PRJNA1027333,SAMN37791382,SARS-CoV-2: clinical or host-associated,107187727,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2023-04-24,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071038,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,60646_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_4-24-23,SRP465974
SRR26363705,AMPLICON,302,168358658,PRJNA1027333,SAMN37791381,SARS-CoV-2: clinical or host-associated,77603289,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2023-03-28,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071037,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,60644_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_3-28-23,SRP465974
SRR26363706,AMPLICON,302,431726516,PRJNA1027333,SAMN37791380,SARS-CoV-2: clinical or host-associated,247416626,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2023-03-13,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071036,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,39988_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:51:00Z,1,VM_3-13-23,SRP465974
SRR26363707,AMPLICON,302,202822294,PRJNA1027333,SAMN37791379,SARS-CoV-2: clinical or host-associated,92954482,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2022-09-12,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071035,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,60643_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_9-12-22,SRP465974
SRR26363708,AMPLICON,240,162895292,PRJNA1027333,SAMN37791378,SARS-CoV-2: clinical or host-associated,80027536,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2022-04-25,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071034,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,58188_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_4-25-22,SRP465974
SRR26363709,AMPLICON,241,136136870,PRJNA1027333,SAMN37791377,SARS-CoV-2: clinical or host-associated,65981174,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2022-03-14,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071033,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,58187_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_3-14-22,SRP465974
SRR26363710,AMPLICON,242,179778114,PRJNA1027333,SAMN37791376,SARS-CoV-2: clinical or host-associated,87578046,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2021-11-09,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071032,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,58186_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,VM_11-9-21,SRP465974
SRR26363711,AMPLICON,302,71994988,PRJNA1027333,SAMN37791390,SARS-CoV-2: clinical or host-associated,33002915,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2023-04-10,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071031,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,60645_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,CE 4-10-23,SRP465974
SRR26363712,AMPLICON,302,39550222,PRJNA1027333,SAMN37791389,SARS-CoV-2: clinical or host-associated,21086176,CENTRAL MICHIGAN UNIVERSITY COLLEGE OF MEDICINE,Central Michigan University,2023-04-03,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22071030,USA,North America,USA: Michigan,SARS-CoV-2,Homo sapiens,Illumina MiSeq,Wastewater,Wastewater treatment plant,30377_R1,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2023-10-12T00:00:00Z,2023-10-12T13:50:00Z,1,UT_4-3-23,SRP465974
