Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,isolation_source
SRR26627906,WGS,502,58301778,PRJNA1027858,SAMN38060885,SARS-CoV-2: wastewater surveillance,33457571,UNIVERSITY OF WATERLOO,2022-04-20,public,"activ_sars2_vcf,run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX22328479,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-20-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW23-22-04-20,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627907,WGS,502,66087296,PRJNA1027858,SAMN38060884,SARS-CoV-2: wastewater surveillance,36355951,UNIVERSITY OF WATERLOO,2022-04-19,public,"run.zq,sra,activ_sars2_vcf,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX22328478,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-19-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW23-22-04-19,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627908,WGS,502,144942460,PRJNA1027858,SAMN38060883,SARS-CoV-2: wastewater surveillance,85123467,UNIVERSITY OF WATERLOO,2022-04-20,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX22328477,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW22-22-04-20-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW22-22-04-20,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW22
SRR26627909,WGS,502,256079738,PRJNA1027858,SAMN38060882,SARS-CoV-2: wastewater surveillance,145003453,UNIVERSITY OF WATERLOO,2022-04-19,public,"activ_sars2_vcf,fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX22328476,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW22-22-04-19-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW22-22-04-19,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW22
SRR26627910,WGS,502,117926326,PRJNA1027858,SAMN38060881,SARS-CoV-2: wastewater surveillance,62601225,UNIVERSITY OF WATERLOO,2022-04-18,public,"fastq,activ_sars2_vcf,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX22328475,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-18-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-18,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627911,WGS,502,164146972,PRJNA1027858,SAMN38060836,SARS-CoV-2: wastewater surveillance,98838663,UNIVERSITY OF WATERLOO,2022-04-06,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRX22328474,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW1-22-04-06-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW1-22-04-06,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW1
SRR26627912,WGS,502,118414772,PRJNA1027858,SAMN38060880,SARS-CoV-2: wastewater surveillance,66230490,UNIVERSITY OF WATERLOO,2022-04-14,public,"run.zq,sra,activ_sars2_vcf,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX22328473,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-14-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-14,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627913,WGS,502,110767806,PRJNA1027858,SAMN38060879,SARS-CoV-2: wastewater surveillance,60539498,UNIVERSITY OF WATERLOO,2022-04-18,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX22328472,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW22-22-04-18-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW22-22-04-18,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW22
SRR26627914,WGS,502,111236172,PRJNA1027858,SAMN38060878,SARS-CoV-2: wastewater surveillance,60940341,UNIVERSITY OF WATERLOO,2022-04-14,public,"fastq,sra,run.zq,activ_sars2_vcf","gs,ncbi,s3","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX22328471,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW22-22-04-14-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW22-22-04-14,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW22
SRR26627915,WGS,502,44498786,PRJNA1027858,SAMN38060877,SARS-CoV-2: wastewater surveillance,23613693,UNIVERSITY OF WATERLOO,2022-04-17,public,"sra,fastq,run.zq,activ_sars2_vcf","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX22328470,Canada,North America,Canada:Waterloo,Illumina MiSeq,WATERLOO-22-04-17-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,WATERLOO-22-04-17,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Waterloo Wastewater Treatment Plant- Region of Waterloo Public Health and Paramedic Services
