Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,Sample_Name,sequence_submitter_contact_email (run),sequenced_by,sequencing_protocol_name (run),SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR26528104,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,792882143,PRJNA1031245,SAMN37987332,SARS-CoV-2: wastewater surveillance,795203632,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231418,USA,North America,USA: North Carolina,PromethION,Control,Mixture32-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture32-v4.1-ctrl_BioSample,Mixture32-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528105,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,563009930,PRJNA1031245,SAMN37987333,SARS-CoV-2: wastewater surveillance,564037187,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,fastq,activ_sars2_vcf","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",kraken2,SRX22231417,USA,North America,USA: North Carolina,PromethION,Control,Mixture31-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture31-v4.1-ctrl_BioSample,Mixture31-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528106,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,776683716,PRJNA1031245,SAMN37987334,SARS-CoV-2: wastewater surveillance,779883175,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231416,USA,North America,USA: North Carolina,PromethION,Control,Mixture30-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture30-v4.1-ctrl_BioSample,Mixture30-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528107,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,568111269,PRJNA1031245,SAMN37987335,SARS-CoV-2: wastewater surveillance,569407482,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231415,USA,North America,USA: North Carolina,PromethION,Control,Mixture29-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture29-v4.1-ctrl_BioSample,Mixture29-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528108,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,401,909575339,PRJNA1031245,SAMN37987336,SARS-CoV-2: wastewater surveillance,909926045,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,activ_sars2_vcf,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231414,USA,North America,USA: North Carolina,PromethION,Control,Mixture28-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:33:00Z,1,Mixture28-v4.1-ctrl_BioSample,Mixture28-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528109,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,741376270,PRJNA1031245,SAMN37987337,SARS-CoV-2: wastewater surveillance,741771509,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,sra,activ_sars2_vcf","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",kraken2,SRX22231413,USA,North America,USA: North Carolina,PromethION,Control,Mixture27-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture27-v4.1-ctrl_BioSample,Mixture27-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528110,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,590963430,PRJNA1031245,SAMN37987338,SARS-CoV-2: wastewater surveillance,591182327,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",kraken2,SRX22231412,USA,North America,USA: North Carolina,PromethION,Control,Mixture26-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture26-v4.1-ctrl_BioSample,Mixture26-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528111,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,401,566032902,PRJNA1031245,SAMN37987339,SARS-CoV-2: wastewater surveillance,565172648,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",kraken2,SRX22231411,USA,North America,USA: North Carolina,PromethION,Control,Mixture25-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture25-v4.1-ctrl_BioSample,Mixture25-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528112,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,712363390,PRJNA1031245,SAMN37987340,SARS-CoV-2: wastewater surveillance,714267808,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231410,USA,North America,USA: North Carolina,PromethION,Control,Mixture24-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture24-v4.1-ctrl_BioSample,Mixture24-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528113,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,629383858,PRJNA1031245,SAMN37987341,SARS-CoV-2: wastewater surveillance,629725537,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",kraken2,SRX22231409,USA,North America,USA: North Carolina,PromethION,Control,Mixture23-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture23-v4.1-ctrl_BioSample,Mixture23-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
