Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR28374146,WGS,502,63341858,PRJNA1088471,SAMN40527890,SARS-CoV-2: wastewater surveillance,31539798,UNIVERSITY OF WATERLOO,2022-03-18,public,"run.zq,activ_sars2_vcf,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX23979409,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 3,"=_xlfn.CONCAT(A45,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:09:00Z,1,A3-1045,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374147,WGS,502,57717952,PRJNA1088471,SAMN40528276,SARS-CoV-2: wastewater surveillance,32384739,UNIVERSITY OF WATERLOO,2022-08-31,public,"sra,activ_sars2_vcf,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX23979408,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A431,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:11:00Z,1,A1-1152,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374148,WGS,502,45546962,PRJNA1088471,SAMN40528275,SARS-CoV-2: wastewater surveillance,22712986,UNIVERSITY OF WATERLOO,2022-08-30,public,"activ_sars2_vcf,sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX23979407,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A430,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:12:00Z,1,A1-1151,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374149,WGS,502,125452812,PRJNA1088471,SAMN40528274,SARS-CoV-2: wastewater surveillance,64533703,UNIVERSITY OF WATERLOO,2022-08-29,public,"activ_sars2_vcf,sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX23979406,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A429,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:11:00Z,1,A1-1150,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374150,WGS,502,95084824,PRJNA1088471,SAMN40528273,SARS-CoV-2: wastewater surveillance,47154999,UNIVERSITY OF WATERLOO,2022-08-26,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX23979405,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A428,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:11:00Z,1,A1-1149,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374151,WGS,502,56067878,PRJNA1088471,SAMN40528272,SARS-CoV-2: wastewater surveillance,28211632,UNIVERSITY OF WATERLOO,2022-08-25,public,"run.zq,sra,fastq,activ_sars2_vcf","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRX23979404,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A427,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:10:00Z,1,A1-1148,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374152,WGS,502,97071238,PRJNA1088471,SAMN40527883,SARS-CoV-2: wastewater surveillance,58332987,UNIVERSITY OF WATERLOO,2022-03-09,public,"activ_sars2_vcf,sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1,gs.US",SRX23979403,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 3,"=_xlfn.CONCAT(A38,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:10:00Z,1,A3-1038,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374153,WGS,502,72754358,PRJNA1088471,SAMN40528206,SARS-CoV-2: wastewater surveillance,38872787,UNIVERSITY OF WATERLOO,2022-05-18,public,"fastq,activ_sars2_vcf,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX23979402,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A361,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:10:00Z,1,A1-1082,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374154,WGS,502,19800888,PRJNA1088471,SAMN40528205,SARS-CoV-2: wastewater surveillance,10600471,UNIVERSITY OF WATERLOO,2022-05-17,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX23979401,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A360,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:10:00Z,1,A1-1081,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR28374155,WGS,502,270294370,PRJNA1088471,SAMN40528204,SARS-CoV-2: wastewater surveillance,152237826,UNIVERSITY OF WATERLOO,2022-05-16,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX23979400,Canada,North America,Canada: Mississauga,Illumina MiSeq,Toronto Pearson International Airport - Terminal 1,"=_xlfn.CONCAT(A359,""-SARS-CoV-2"")",PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2024-03-18T14:11:00Z,1,A1-1080,SRP495457,NA,24,raw wastewater,composite,yes,SARS-CoV-2
