Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,Sno,Sno.,ID
SRR28985989,AMPLICON,71,76194491,PRJNA1110039,SAMN41315950,SARS-CoV-2: wastewater surveillance,32095151,CSIR-NCL,2022-07-25,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24514854,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PMC74A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15276,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S10
SRR28985990,AMPLICON,71,55206584,PRJNA1110039,SAMN41315949,SARS-CoV-2: wastewater surveillance,23151122,CSIR-NCL,2022-07-25,public,"fastq,run.zq,sra,activ_sars2_vcf","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX24514853,India,Asia,India: Maharashtra,Illumina MiSeq,STP,KOP74A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15269,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S9
SRR28985991,AMPLICON,71,127598585,PRJNA1110039,SAMN41315948,SARS-CoV-2: wastewater surveillance,53583137,CSIR-NCL,2022-07-04,public,"fastq,run.zq,activ_sars2_vcf,sra","ncbi,gs,s3","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX24514852,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SMK71B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP16170,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S8
SRR28985992,AMPLICON,71,123743997,PRJNA1110039,SAMN41315947,SARS-CoV-2: wastewater surveillance,51692759,CSIR-NCL,2022-07-04,public,"run.zq,sra,fastq,activ_sars2_vcf","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX24514851,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BY71,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP16159,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S7
SRR28985993,AMPLICON,71,95056136,PRJNA1110039,SAMN41315999,SARS-CoV-2: wastewater surveillance,40900276,CSIR-NCL,2023-05-08,public,"run.zq,activ_sars2_vcf,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX24514850,India,Asia,India: Maharashtra,Illumina MiSeq,STP,KOP52B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP18447,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S59
SRR28985994,AMPLICON,71,113366533,PRJNA1110039,SAMN41315998,SARS-CoV-2: wastewater surveillance,48553744,CSIR-NCL,2023-05-08,public,"activ_sars2_vcf,run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1,gs.US",SRX24514849,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PMC52B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP18439,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S58
SRR28985995,AMPLICON,71,73826684,PRJNA1110039,SAMN41315997,SARS-CoV-2: wastewater surveillance,33061007,CSIR-NCL,2023-05-01,public,"sra,run.zq,activ_sars2_vcf,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX24514848,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BSR51,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18219,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S57
SRR28985996,AMPLICON,71,103903579,PRJNA1110039,SAMN41315996,SARS-CoV-2: wastewater surveillance,43847473,CSIR-NCL,2023-05-01,public,"activ_sars2_vcf,run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX24514847,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BY51,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18218,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S56
SRR28985997,AMPLICON,71,134730726,PRJNA1110039,SAMN41315995,SARS-CoV-2: wastewater surveillance,56695165,CSIR-NCL,2023-05-01,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX24514846,India,Asia,India: Maharashtra,Illumina MiSeq,STP,TNA51,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18217,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S55
SRR28985998,AMPLICON,70,74265657,PRJNA1110039,SAMN41315994,SARS-CoV-2: wastewater surveillance,32995764,CSIR-NCL,2023-05-01,public,"sra,run.zq,fastq,activ_sars2_vcf","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1,gs.US",SRX24514845,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BIRD51,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18216,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S54
SRR28985999,AMPLICON,71,86883130,PRJNA1110039,SAMN41315993,SARS-CoV-2: wastewater surveillance,37115774,CSIR-NCL,2023-05-01,public,"activ_sars2_vcf,run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX24514844,India,Asia,India: Maharashtra,Illumina MiSeq,STP,ABH51,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18213,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S53
SRR28986000,AMPLICON,71,93997883,PRJNA1110039,SAMN41315992,SARS-CoV-2: wastewater surveillance,39751023,CSIR-NCL,2023-05-01,public,"sra,run.zq,activ_sars2_vcf,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX24514843,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BUD51,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18212,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S52
SRR28986001,AMPLICON,71,123107036,PRJNA1110039,SAMN41315991,SARS-CoV-2: wastewater surveillance,51011000,CSIR-NCL,2023-04-24,public,"sra,activ_sars2_vcf,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX24514842,India,Asia,India: Maharashtra,Illumina MiSeq,STP,ABH44,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18246,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S51
SRR28986002,AMPLICON,71,120834624,PRJNA1110039,SAMN41315946,SARS-CoV-2: wastewater surveillance,50611238,CSIR-NCL,2022-06-27,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX24514841,India,Asia,India: Maharashtra,Illumina MiSeq,STP,STR64A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP16180,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S6
SRR28986003,AMPLICON,71,72026603,PRJNA1110039,SAMN41315990,SARS-CoV-2: wastewater surveillance,30920711,CSIR-NCL,2023-04-18,public,"fastq,activ_sars2_vcf,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX24514840,India,Asia,India: Maharashtra,Illumina MiSeq,STP,KYN43,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18257,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S50
SRR28986004,AMPLICON,70,77236286,PRJNA1110039,SAMN41315989,SARS-CoV-2: wastewater surveillance,32278165,CSIR-NCL,2023-04-18,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,ncbi,gs","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24514839,India,Asia,India: Maharashtra,Illumina MiSeq,STP,ABH43,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18255,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S49
SRR28986005,AMPLICON,71,117169721,PRJNA1110039,SAMN41315988,SARS-CoV-2: wastewater surveillance,49973128,CSIR-NCL,2023-04-18,public,"activ_sars2_vcf,fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX24514838,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BUD43,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18254,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S48
SRR28986006,AMPLICON,71,28813734,PRJNA1110039,SAMN41315987,SARS-CoV-2: wastewater surveillance,12506841,CSIR-NCL,2023-04-12,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,ncbi,gs","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX24514837,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SUR42B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18475,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S47
SRR28986007,AMPLICON,71,193020865,PRJNA1110039,SAMN41315986,SARS-CoV-2: wastewater surveillance,79748400,CSIR-NCL,2023-04-11,public,"run.zq,activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX24514836,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BSR42,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18483,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S46
SRR28986008,AMPLICON,71,240570201,PRJNA1110039,SAMN41315985,SARS-CoV-2: wastewater surveillance,98482055,CSIR-NCL,2023-04-11,public,"run.zq,sra,fastq,activ_sars2_vcf","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX24514835,India,Asia,India: Maharashtra,Illumina MiSeq,STP,KYN42,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18482,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S45
SRR28986009,AMPLICON,71,226188550,PRJNA1110039,SAMN41315984,SARS-CoV-2: wastewater surveillance,92832264,CSIR-NCL,2023-04-11,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX24514834,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BUD42,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP18481,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S44
SRR28986010,AMPLICON,71,52680185,PRJNA1110039,SAMN41315983,SARS-CoV-2: wastewater surveillance,22666415,CSIR-NCL,2023-04-11,public,"fastq,activ_sars2_vcf,sra,run.zq","gs,ncbi,s3","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX24514833,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PNVL42,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP18480,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S43
SRR28986011,AMPLICON,71,93269044,PRJNA1110039,SAMN41315982,SARS-CoV-2: wastewater surveillance,46928067,CSIR-NCL,2023-01-23,public,"run.zq,fastq,activ_sars2_vcf,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX24514832,India,Asia,India: Maharashtra,Illumina MiSeq,STP,JLN13B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP17025,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S42
SRR28986012,AMPLICON,71,114040589,PRJNA1110039,SAMN41315981,SARS-CoV-2: wastewater surveillance,40542047,CSIR-NCL,2022-08-25,public,"activ_sars2_vcf,fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX24514831,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SUR84B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15749,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S41
SRR28986013,AMPLICON,71,95972356,PRJNA1110039,SAMN41315945,SARS-CoV-2: wastewater surveillance,40619383,CSIR-NCL,2022-06-27,public,"sra,run.zq,fastq,activ_sars2_vcf","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX24514830,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PMC64B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP16156,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S5
