Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by
SRR34288678,AMPLICON,117,1376090320,PRJNA1283912,SAMN49704463,SARS-CoV-2: wastewater surveillance,1105372560,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-25,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX29460072,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230425_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:49:00Z,1,SAT_FRA_TER24h_20230425_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288679,AMPLICON,113,1636011433,PRJNA1283912,SAMN49704369,SARS-CoV-2: wastewater surveillance,1308890608,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-21,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29460071,Germany,Europe,Germany:Berlin_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_BER_TERGS_20230421_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:49:00Z,1,SAT_BER_TERGS_20230421_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288680,AMPLICON,142,775427122,PRJNA1283912,SAMN49704379,SARS-CoV-2: wastewater surveillance,552680902,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-17,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29460070,Germany,Europe,Germany:Frankfurt_Non_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FT24h_pool_20230117_03,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:49:00Z,1,SAT_FRA_FT24h_pool_20230117_03,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep3
SRR34288681,AMPLICON,107,48830,PRJNA1283912,SAMN49704304,SARS-CoV-2: wastewater surveillance,100722,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-24,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29460069,Germany,Europe,Germany:Berlin_Aircraft_bottom_outlet,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_AL_pool_20230224_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:48:00Z,1,SAT_BER_FTGS_AL_pool_20230224_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288682,AMPLICON,107,1774807783,PRJNA1283912,SAMN49704457,SARS-CoV-2: wastewater surveillance,1348273759,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-20,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29460068,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230420_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:50:00Z,1,SAT_FRA_TER24h_20230420_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288683,AMPLICON,123,2507829267,PRJNA1283912,SAMN49704367,SARS-CoV-2: wastewater surveillance,1909389100,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-14,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX29460067,Germany,Europe,Germany:Berlin_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_BER_TERGS_20230414_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:56:00Z,1,SAT_BER_TERGS_20230414_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288684,AMPLICON,110,252515449,PRJNA1283912,SAMN49704454,SARS-CoV-2: wastewater surveillance,189623073,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-17,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX29460066,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230417_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:54:00Z,1,SAT_FRA_TER24h_20230417_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288685,AMPLICON,128,809882591,PRJNA1283912,SAMN49704376,SARS-CoV-2: wastewater surveillance,576025457,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-17,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX29460065,Germany,Europe,Germany:Frankfurt_Non_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FT24h_pool_20230117,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_FRA_FT24h_pool_20230117,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288686,AMPLICON,150,1847511376,PRJNA1283912,SAMN49704433,SARS-CoV-2: wastewater surveillance,1428360019,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-16,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29460063,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230216_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_FRA_TER24h_20230216_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288687,AMPLICON,163,1614553212,PRJNA1283912,SAMN49704428,SARS-CoV-2: wastewater surveillance,1259954441,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-07,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX29460062,Germany,Europe,Germany:Frankfurt_Terminal,Ion Torrent Genexus,wastewater,SAT_FRA_TER24h_20230207_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_FRA_TER24h_20230207_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
