Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,hia_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR36223657,WGS,136,497280407,PRJNA1365088,SAMN53338183,Metagenome or environmental,190822759,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259727,Qatar,Asia,Qatar,HIA-374-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-374-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:23:00Z,1,Qatar_Aircraft_12-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223658,WGS,102,453489762,PRJNA1365088,SAMN53338182,Metagenome or environmental,184782849,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259726,Qatar,Asia,Qatar,HIA-373-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-373-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:23:00Z,1,Qatar_Aircraft_11-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223659,WGS,119,429884771,PRJNA1365088,SAMN53338181,Metagenome or environmental,172420963,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259725,Qatar,Asia,Qatar,HIA-372-1,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-372-1,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:23:00Z,1,Qatar_Aircraft_10-1,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223660,WGS,173,819868831,PRJNA1365088,SAMN53338180,Metagenome or environmental,295609939,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259724,Qatar,Asia,Qatar,HIA-370-1,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-370-1,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:23:00Z,1,Qatar_Aircraft_8-1,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223661,WGS,152,606927369,PRJNA1365088,SAMN53338179,Metagenome or environmental,229321995,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259723,Qatar,Asia,Qatar,HIA-369-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-369-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:24:00Z,1,Qatar_Aircraft_7-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223662,WGS,166,1003337812,PRJNA1365088,SAMN53338178,Metagenome or environmental,369196850,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259722,Qatar,Asia,Qatar,HIA-368-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-368-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:24:00Z,1,Qatar_Aircraft_6-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223663,WGS,97,78510576,PRJNA1365088,SAMN53338177,Metagenome or environmental,32828743,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259721,Qatar,Asia,Qatar,HIA-367-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-367-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:23:00Z,1,Qatar_Aircraft_5-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223664,WGS,139,815910465,PRJNA1365088,SAMN53338194,Metagenome or environmental,312975156,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259720,Qatar,Asia,Qatar,HIA-385-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-385-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-12-02T00:00:00Z,2025-12-02T16:46:00Z,1,Qatar_Aircraft_23-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223665,WGS,129,217795900,PRJNA1365088,SAMN53338176,Metagenome or environmental,83333682,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259719,Qatar,Asia,Qatar,HIA-366-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-366-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:24:00Z,1,Qatar_Aircraft_4-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
SRR36223666,WGS,134,351974613,PRJNA1365088,SAMN53338193,Metagenome or environmental,134504522,QATAR ENVIRONMENT AND ENERGY RESEARCH INSTITUTE,2023-02-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31259718,Qatar,Asia,Qatar,HIA-383-2,NextSeq 2000,aircraft wastewater,25.29 N 51.53 E,HIA-383-2,PAIRED,RANDOM,GENOMIC,wastewater metagenome,ILLUMINA,2025-11-28T00:00:00Z,2025-11-28T08:24:00Z,1,Qatar_Aircraft_21-2,SRP649636,NA,0,other,grab,yes,SARS-CoV-2
