Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,collected_by (run),collection_date (run),geo_loc_name (run),isolation_source (run),organism (run),ww_population (run),ww_population,ww_sample_duration (run),ww_sample_duration,ww_sample_matrix (run),ww_sample_matrix,ww_sample_type (run),ww_sample_type,ww_surv_target_1_known_present (run),ww_surv_target_1_known_present,ww_surv_target_1 (run),ww_surv_target_1,sequenced_by,wwtp,design_description,filename2,filename,filetype,INSTRUMENT_MODEL,Library_ID,library_layout,library_selection,library_source,library_strategy,platform,Title,Isolate,Lat_Lon,STRAIN,passage_history
SRR18583046,AMPLICON,602,106337882,PRJNA715712,SAMN27252862,SARS-CoV-2: wastewater surveillance,57962025,THE NEW SCHOOL,NY DEP,2021-10-18,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14712171,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2021-10-18-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2021-10-18,SRP311364,NYC DEP,2021-10-18,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583047,AMPLICON,602,79504334,PRJNA715712,SAMN27252861,SARS-CoV-2: wastewater surveillance,34103872,THE NEW SCHOOL,NY DEP,2022-01-03,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14712170,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2022-01-03-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2022-01-03,SRP311364,NYC DEP,2022-01-03,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583048,AMPLICON,602,84602672,PRJNA715712,SAMN27252860,SARS-CoV-2: wastewater surveillance,39867015,THE NEW SCHOOL,NY DEP,2022-01-31,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712169,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2022-01-31-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2022-01-31,SRP311364,NYC DEP,2022-01-31,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583049,AMPLICON,602,116778970,PRJNA715712,SAMN27252859,SARS-CoV-2: wastewater surveillance,59143679,THE NEW SCHOOL,NY DEP,2022-01-25,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14712168,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2022-01-25-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2022-01-25,SRP311364,NYC DEP,2022-01-25,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583050,AMPLICON,602,114717722,PRJNA715712,SAMN27252858,SARS-CoV-2: wastewater surveillance,55978571,THE NEW SCHOOL,NY DEP,2022-01-18,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14712167,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2022-01-18-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2022-01-18,SRP311364,NYC DEP,2022-01-18,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583051,AMPLICON,602,90761734,PRJNA715712,SAMN27252857,SARS-CoV-2: wastewater surveillance,40344386,THE NEW SCHOOL,NY DEP,2022-01-12,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14712166,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2022-01-12-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2022-01-12,SRP311364,NYC DEP,2022-01-12,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583052,AMPLICON,602,103943728,PRJNA715712,SAMN27252856,SARS-CoV-2: wastewater surveillance,56768976,THE NEW SCHOOL,NY DEP,2022-03-21,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX14712165,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2022-03-21-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2022-03-21,SRP311364,NYC DEP,2022-03-21,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583053,AMPLICON,602,83625024,PRJNA715712,SAMN27252788,SARS-CoV-2: wastewater surveillance,40333049,THE NEW SCHOOL,NY DEP,2021-07-19,public,"fastq,activ_sars2_vcf,sra","gs,s3","gs.US,s3.us-east-1",SRX14712164,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OH-2021-07-19-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OH-2021-07-19,SRP311364,NYC DEP,2021-07-19,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OH,,,,,,,,,,,,,,,,
SRR18583054,AMPLICON,602,95365830,PRJNA715712,SAMN27252855,SARS-CoV-2: wastewater surveillance,42603621,THE NEW SCHOOL,NY DEP,2021-08-30,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712163,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-OB-2021-08-30-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-OB-2021-08-30,SRP311364,NYC DEP,2021-08-30,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,OB,,,,,,,,,,,,,,,,
SRR18583055,AMPLICON,602,76692994,PRJNA715712,SAMN27252854,SARS-CoV-2: wastewater surveillance,33638087,THE NEW SCHOOL,NY DEP,2021-06-28,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14712162,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-NY14-2021-06-28-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-NY14-2021-06-28,SRP311364,NYC DEP,2021-06-28,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,NY14,,,,,,,,,,,,,,,,
