Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR14276220,AMPLICON,302,3577480826,PRJNA720687,SAMN18676780,Pathogen.env,1478729459,OREGON STATE UNIVERSITY,TRACE OSU,2020-09-17,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637596,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-09-17-20-A/2020,environmental,not collected,NP_074,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:26:00Z,1,NP-Inf-09-17-20-A,SRP315405
SRR14276221,AMPLICON,302,3494615952,PRJNA720687,SAMN18676779,Pathogen.env,1416542037,OREGON STATE UNIVERSITY,TRACE OSU,2020-09-16,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX10637595,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-09-16-20-A/2020,environmental,not collected,NP_073,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:31:00Z,1,NP-Inf-09-16-20-A,SRP315405
SRR14276222,AMPLICON,302,3755198766,PRJNA720687,SAMN18676778,Pathogen.env,1584520160,OREGON STATE UNIVERSITY,TRACE OSU,2020-09-11,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637594,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-09-11-20-A/2020,environmental,not collected,NP_072,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:29:00Z,1,NP-Inf-09-11-20-A,SRP315405
SRR14276223,AMPLICON,302,5285649602,PRJNA720687,SAMN18676777,Pathogen.env,2204781948,OREGON STATE UNIVERSITY,TRACE OSU,2020-09-09,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637593,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-09-09-20-A2/2020,environmental,not collected,NP_071,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:28:00Z,1,NP-Inf-09-09-20-A2,SRP315405
SRR14276224,AMPLICON,302,7164147586,PRJNA720687,SAMN18676714,Pathogen.env,3072980058,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-19,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637592,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Bayfront-06-19-20-B2/2020,environmental,not collected,NP_008,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:29:00Z,1,NP-Bayfront-06-19-20-B2,SRP315405
SRR14276225,AMPLICON,302,3727927260,PRJNA720687,SAMN18676776,Pathogen.env,1522086311,OREGON STATE UNIVERSITY,TRACE OSU,2020-09-09,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637591,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-09-09-20-A1/2020,environmental,not collected,NP_070,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:25:00Z,1,NP-Inf-09-09-20-A1,SRP315405
SRR14276226,AMPLICON,302,3505420606,PRJNA720687,SAMN18676775,Pathogen.env,1463971177,OREGON STATE UNIVERSITY,TRACE OSU,2020-09-03,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637590,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-09-03-20-A/2020,environmental,not collected,NP_069,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:33:00Z,1,NP-Inf-09-03-20-A,SRP315405
SRR14276227,AMPLICON,302,10772041926,PRJNA720687,SAMN18676774,Pathogen.env,4514922437,OREGON STATE UNIVERSITY,TRACE OSU,2020-08-27,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637589,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-08-27-20-A/2020,environmental,not collected,NP_068,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:37:00Z,1,NP-Inf-08-27-20-A,SRP315405
SRR14276228,AMPLICON,302,7575850898,PRJNA720687,SAMN18676773,Pathogen.env,3216872556,OREGON STATE UNIVERSITY,TRACE OSU,2020-08-06,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637588,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-08-06-20-A2/2020,environmental,not collected,NP_067,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:42:00Z,1,NP-Inf-08-06-20-A2,SRP315405
SRR14276229,AMPLICON,302,7480522182,PRJNA720687,SAMN18676772,Pathogen.env,3122734998,OREGON STATE UNIVERSITY,TRACE OSU,2020-08-06,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10637587,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-08-06-20-A1/2020,environmental,not collected,NP_066,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:48:00Z,1,NP-Inf-08-06-20-A1,SRP315405
