Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,SAMPLE_NUMBER
SRR14530724,RNA-Seq,302,826837344,PRJNA729801,SAMN19167988,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",290695211,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-09-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",wastewater,influent wastewater,Composite wastewater,SRX10875613,USA,North America,USA: California,Illumina NovaSeq 6000,32.543403 N 117.067960 W,SB_9_10_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,SB_9_10_2020_INF_unenriched,SRP319776,100
SRR14530725,RNA-Seq,302,1967759218,PRJNA729801,SAMN19167989,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",687528757,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-09-24,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX10875521,USA,North America,USA: California,Illumina NovaSeq 6000,32.543403 N 117.067960 W,SB_9_24_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,SB_9_24_2020_INF_unenriched,SRP319776,101
SRR14530726,RNA-Seq,302,967678064,PRJNA729801,SAMN19167987,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",344432866,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-08-27,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",wastewater,influent wastewater,Composite wastewater,SRX10875612,USA,North America,USA: California,Illumina NovaSeq 6000,32.543403 N 117.067960 W,SB_8_27_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,SB_8_27_2020_INF_unenriched,SRP319776,99
SRR14530727,RNA-Seq,302,840224400,PRJNA729801,SAMN19167986,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",296873099,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-08-13,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX10875611,USA,North America,USA: California,Illumina NovaSeq 6000,32.543403 N 117.067960 W,SB_8_13_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,SB_8_13_2020_INF_unenriched,SRP319776,98
SRR14530728,RNA-Seq,302,1035611454,PRJNA729801,SAMN19167985,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",370023536,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-10-22,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX10875610,USA,North America,USA: California,Illumina NovaSeq 6000,32.543403 N 117.067960 W,SB_10_22_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,SB_10_22_2020_INF_unenriched,SRP319776,97
SRR14530729,RNA-Seq,302,1160452818,PRJNA729801,SAMN19167984,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",448079668,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-09-24,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX10875609,USA,North America,USA: California,Illumina NovaSeq 6000,32.679592 N 117.246719 W,PL_9_24_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,PL_9_24_2020_INF_unenriched,SRP319776,96
SRR14530730,RNA-Seq,302,1334575448,PRJNA729801,SAMN19167983,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",467742509,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-09-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",wastewater,influent wastewater,Composite wastewater,SRX10875608,USA,North America,USA: California,Illumina NovaSeq 6000,32.679592 N 117.246719 W,PL_9_10_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,PL_9_10_2020_INF_unenriched,SRP319776,95
SRR14530731,RNA-Seq,302,1027646808,PRJNA729801,SAMN19167982,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",374095938,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-08-27,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",wastewater,influent wastewater,Composite wastewater,SRX10875607,USA,North America,USA: California,Illumina NovaSeq 6000,32.679592 N 117.246719 W,PL_8_27_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,PL_8_27_2020_INF_unenriched,SRP319776,94
SRR14530732,RNA-Seq,302,1143468036,PRJNA729801,SAMN19167981,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",408966161,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-08-13,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",wastewater,influent wastewater,Composite wastewater,SRX10875606,USA,North America,USA: California,Illumina NovaSeq 6000,32.679592 N 117.246719 W,PL_8_13_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,PL_8_13_2020_INF_unenriched,SRP319776,93
SRR14530733,RNA-Seq,302,1165013924,PRJNA729801,SAMN19167980,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",423354572,UNIVERSITY OF CALIFORNIA RIVERSIDE,2020-10-22,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",wastewater,influent wastewater,Composite wastewater,SRX10875605,USA,North America,USA: California,Illumina NovaSeq 6000,32.679592 N 117.246719 W,PL_10_22_2020_INF_unenriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2021-07-13T00:00:00Z,PL_10_22_2020_INF_unenriched,SRP319776,92
