Run,amplicon_size,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,epi_week,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,samp_collect_device,Sample Name,sequencing_platform,seuqncing_date,SRA Study,wwtp
SRR14636801,400 bp,WGS,495,64523439,PRJNA731975,SAMN19321369,Metagenome or environmental,59464941,UNIVERSITY OF BRITISH COLUMBIA,2021-02-21,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",7,SRX10976380,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0227_NB8,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk7_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP1
SRR14636802,400 bp,WGS,501,125201730,PRJNA731975,SAMN19321368,Metagenome or environmental,115047485,UNIVERSITY OF BRITISH COLUMBIA,2021-02-15,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",6,SRX10976379,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0227_NB7,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk6_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP1
SRR14636803,400 bp,WGS,433,47763713,PRJNA731975,SAMN19321367,Metagenome or environmental,43841244,UNIVERSITY OF BRITISH COLUMBIA,2021-02-07,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",5,SRX10976378,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0227_NB6,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk5_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP1
SRR14636804,400 bp,WGS,492,212451220,PRJNA731975,SAMN19321366,Metagenome or environmental,195508174,UNIVERSITY OF BRITISH COLUMBIA,2021-02-15,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",6,SRX10976377,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0227_NB5,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk6_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP3
SRR14636805,400 bp,WGS,483,547493298,PRJNA731975,SAMN19321365,Metagenome or environmental,502504724,UNIVERSITY OF BRITISH COLUMBIA,2021-02-07,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",5,SRX10976376,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0227_NB4,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP4-WW_Wk5_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP4
SRR14636806,400 bp,WGS,471,109257155,PRJNA731975,SAMN19321364,Metagenome or environmental,100439090,UNIVERSITY OF BRITISH COLUMBIA,2021-02-07,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",5,SRX10976375,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0227_NB3,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk5_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP2
SRR14636807,400 bp,WGS,520,834969536,PRJNA731975,SAMN19321363,Metagenome or environmental,762295241,UNIVERSITY OF BRITISH COLUMBIA,2021-02-07,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",5,SRX10976374,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0227_NB2,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-24T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk5_400bp_27/02/2021,Nanopore_MinION,2021-02-27,SRP320917,WWTP1
SRR14621181,150 bp,WGS,302,503569900,PRJNA731975,SAMN19304049,Metagenome or environmental,259084877,UNIVERSITY OF BRITISH COLUMBIA,2021-04-12,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",11,SRX10962391,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,Illumina MiSeq,wastewater,not collected,run0412_NEB5,PAIRED,RT-PCR,METATRANSCRIPTOMIC,metagenome,ILLUMINA,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk11_150bp_12/04/2021,Illumina_MiSeq v2 2x150bp,2021-04-12,SRP320917,WWTP2
SRR14621182,1200 bp,WGS,518,289599734,PRJNA731975,SAMN19304128,Metagenome or environmental,268003739,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",13,SRX10962390,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB8,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk13_1200bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP2
SRR14621183,1200 bp,WGS,614,420128400,PRJNA731975,SAMN19304127,Metagenome or environmental,387134838,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",13,SRX10962389,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB7,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk13_1200bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP1
