Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,purpose_of_ww_sampling,purpose_of_ww_sequencing,Isolate,Lat_Lon,STRAIN,sequenced_by
SRR15507878,AMPLICON,294,2550443615,PRJNA735936,SAMN20845592,SARS-CoV-2: wastewater surveillance,1117860729,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-19,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11807203,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1434,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1434,SRP323202,25073,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507879,AMPLICON,295,3441838057,PRJNA735936,SAMN20845591,SARS-CoV-2: wastewater surveillance,1503321630,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-19,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11807202,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1433,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1433,SRP323202,35956,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507880,AMPLICON,292,1333924420,PRJNA735936,SAMN20845590,SARS-CoV-2: wastewater surveillance,599257683,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-19,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11807201,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1432,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1432,SRP323202,7820,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507881,AMPLICON,294,2187155254,PRJNA735936,SAMN20845588,SARS-CoV-2: wastewater surveillance,973814727,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11807199,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s07122021,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s07122021,SRP323202,349850,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507882,AMPLICON,291,2511736999,PRJNA735936,SAMN20845543,SARS-CoV-2: wastewater surveillance,1112696498,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-06-28,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11807198,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1340,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1340,SRP323202,22437,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507883,AMPLICON,295,2639589418,PRJNA735936,SAMN20845587,SARS-CoV-2: wastewater surveillance,1157193959,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11807197,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1414,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1414,SRP323202,25000,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507884,AMPLICON,295,2457926603,PRJNA735936,SAMN20845586,SARS-CoV-2: wastewater surveillance,1084874339,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11807196,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1413,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1413,SRP323202,139251,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507885,AMPLICON,293,2228648424,PRJNA735936,SAMN20845585,SARS-CoV-2: wastewater surveillance,977582447,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11807195,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1412,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1412,SRP323202,8071,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507886,AMPLICON,292,1784144114,PRJNA735936,SAMN20845584,SARS-CoV-2: wastewater surveillance,777124471,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11807194,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1411,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1411,SRP323202,99061,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507887,AMPLICON,294,2560387206,PRJNA735936,SAMN20845583,SARS-CoV-2: wastewater surveillance,1118089027,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11807193,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1410,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1410,SRP323202,11203,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
