Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR14789293,AMPLICON,192,723001371,PRJNA736964,SAMN19671089,Metagenome or environmental,498957343,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122561,Czech Republic,Europe,Czech Republic,Ion Torrent S5,wastewater,54.52 N 15.24 E,21010_CZ,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21010_CZ,SRP323754
SRR14789294,AMPLICON,196,648220659,PRJNA736964,SAMN19671088,Metagenome or environmental,435864546,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122560,Czech Republic,Europe,Czech Republic,Ion Torrent S5,wastewater,54.52 N 15.25 E,21009_CZ,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21009_CZ,SRP323754
SRR14789295,AMPLICON,194,613022494,PRJNA736964,SAMN19671087,Metagenome or environmental,418532304,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122559,Cyprus,Asia,Cyprus,Ion Torrent S5,wastewater,54.52 N 15.23 E,21006_CY,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21006_CY,SRP323754
SRR14789296,AMPLICON,156,318997100,PRJNA736964,SAMN19671086,Metagenome or environmental,230365362,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122558,Cyprus,Asia,Cyprus,Ion Torrent S5,wastewater,54.52 N 15.24 E,21005_CY,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21005_CY,SRP323754
SRR14789297,AMPLICON,188,553578621,PRJNA736964,SAMN19671133,Metagenome or environmental,405206155,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122557,Sweden,Europe,Sweden,Ion Torrent S5,wastewater,54.52 N 15.25 E,21045_S,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21045_S,SRP323754
SRR14789298,AMPLICON,187,648746161,PRJNA736964,SAMN19671132,Metagenome or environmental,448384628,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122556,Sweden,Europe,Sweden,Ion Torrent S5,wastewater,54.52 N 15.19 E,21044_S,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:18:00Z,1,21044_S,SRP323754
SRR14789299,AMPLICON,184,446499200,PRJNA736964,SAMN19671131,Metagenome or environmental,316562815,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122555,Spain,Europe,Spain,Ion Torrent S5,wastewater,54.52 N 15.20 E,21038_E,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21038_E,SRP323754
SRR14789300,AMPLICON,188,549910280,PRJNA736964,SAMN19671130,Metagenome or environmental,390159725,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122554,Spain,Europe,Spain,Ion Torrent S5,wastewater,54.52 N 15.21 E,21037_E,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21037_E,SRP323754
SRR14789301,AMPLICON,185,498455258,PRJNA736964,SAMN19671085,Metagenome or environmental,348510988,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122553,Cyprus,Asia,Cyprus,Ion Torrent S5,wastewater,54.52 N 15.25 E,21004_CY,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21004_CY,SRP323754
SRR14789302,AMPLICON,152,288678062,PRJNA736964,SAMN19671129,Metagenome or environmental,202250170,TECHNICAL UNIVERSITY OF DARMSTADT,2021-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11122552,Spain,Europe,Spain,Ion Torrent S5,wastewater,54.52 N 15.22 E,21042_E,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2021-06-11T00:00:00Z,2021-06-11T15:17:00Z,1,21042_E,SRP323754
