Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR15505102,AMPLICON,302,585534814,PRJNA741211,SAMN20813849,SARS-CoV-2: wastewater surveillance,192757947,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-19,public,"fastq,activ_sars2_vcf,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX11804459,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DU1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,DU1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505103,AMPLICON,302,484944654,PRJNA741211,SAMN20813848,SARS-CoV-2: wastewater surveillance,159000482,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-17,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX11804458,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DS2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,DS2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505104,AMPLICON,302,412520222,PRJNA741211,SAMN20813847,SARS-CoV-2: wastewater surveillance,139871000,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-15,public,"activ_sars2_vcf,sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX11804457,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DR2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,DR2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505105,AMPLICON,302,454726836,PRJNA741211,SAMN20813846,SARS-CoV-2: wastewater surveillance,149331288,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-13,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX11804456,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DP3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,DP3,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505106,AMPLICON,302,381382210,PRJNA741211,SAMN20813898,SARS-CoV-2: wastewater surveillance,124231306,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-27,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX11804455,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GH1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,GH1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505107,AMPLICON,302,372335800,PRJNA741211,SAMN20813897,SARS-CoV-2: wastewater surveillance,122151530,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-25,public,"activ_sars2_vcf,fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX11804454,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GG2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,GG2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505108,AMPLICON,302,615765014,PRJNA741211,SAMN20813896,SARS-CoV-2: wastewater surveillance,204086319,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-23,public,"activ_sars2_vcf,sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX11804453,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GF2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,GF2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505109,AMPLICON,302,513084712,PRJNA741211,SAMN20813895,SARS-CoV-2: wastewater surveillance,167950479,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-21,public,"fastq,sra,run.zq,activ_sars2_vcf","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX11804452,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GD2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,GD2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505110,AMPLICON,302,462319720,PRJNA741211,SAMN20813894,SARS-CoV-2: wastewater surveillance,152420699,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-19,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX11804451,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GC3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,GC3,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505111,AMPLICON,302,484282368,PRJNA741211,SAMN20813893,SARS-CoV-2: wastewater surveillance,159463395,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-17,public,"fastq,run.zq,sra,activ_sars2_vcf","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11804450,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GC1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,GC1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505112,AMPLICON,302,400282578,PRJNA741211,SAMN20813892,SARS-CoV-2: wastewater surveillance,132180907,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-15,public,"run.zq,fastq,activ_sars2_vcf,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX11804449,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,GB1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,GB1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505113,AMPLICON,302,565638148,PRJNA741211,SAMN20813891,SARS-CoV-2: wastewater surveillance,187361561,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-13,public,"sra,fastq,run.zq,activ_sars2_vcf","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX11804448,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FZ1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FZ1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
