Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,Replicate
SRR15090099,AMPLICON,507,15520312,PRJNA745177,SAMN20153142,SARS-CoV-2: wastewater surveillance,13388652,UNIVERSITY OF SOUTH CAROLINA,2021-01-06,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX11399998,USA,North America,"USA: South Carolina\, Columbia",GridION,WWTP influent,210415 rerun2barcode01,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,Columbia_01-06-21,SRP327683,"363,714",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090100,AMPLICON,506,2950268,PRJNA745177,SAMN20153134,SARS-CoV-2: wastewater surveillance,2670465,UNIVERSITY OF SOUTH CAROLINA,2021-01-30,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX11399997,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210415 rerun2barcode38,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_01-30-21,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090101,AMPLICON,506,6781771,PRJNA745177,SAMN20153133,SARS-CoV-2: wastewater surveillance,5947115,UNIVERSITY OF SOUTH CAROLINA,2021-01-26,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX11399996,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210415 rerun2barcode50,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_01-26-21,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV-2,
SRR15090102,AMPLICON,507,8768313,PRJNA745177,SAMN20153132,SARS-CoV-2: wastewater surveillance,7605365,UNIVERSITY OF SOUTH CAROLINA,2021-01-24,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX11399995,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210415 rerun2barcode62,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_01-24-21,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090103,AMPLICON,507,12030661,PRJNA745177,SAMN20153131,SARS-CoV-2: wastewater surveillance,10371676,UNIVERSITY OF SOUTH CAROLINA,2021-01-19,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX11399994,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210415 rerun2barcode74,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_01-19-21,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090104,AMPLICON,511,11269978,PRJNA745177,SAMN20153130,SARS-CoV-2: wastewater surveillance,9762309,UNIVERSITY OF SOUTH CAROLINA,2021-01-17,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX11399993,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210415 rerun2barcode86,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_01-17-21,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090105,AMPLICON,508,12216856,PRJNA745177,SAMN20153129,SARS-CoV-2: wastewater surveillance,10490825,UNIVERSITY OF SOUTH CAROLINA,2021-01-12,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX11399992,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210415 rerun2barcode03,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_01-12-21,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090106,AMPLICON,509,3408422,PRJNA745177,SAMN20153141,SARS-CoV-2: wastewater surveillance,3040671,UNIVERSITY OF SOUTH CAROLINA,2020-07-22,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX11399991,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210505barcode01,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_07-22-20,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090107,AMPLICON,505,3987589,PRJNA745177,SAMN20153140,SARS-CoV-2: wastewater surveillance,3530120,UNIVERSITY OF SOUTH CAROLINA,2020-07-19,public,"activ_sars2_vcf,bam,sra","s3,gs","gs.US,s3.us-east-1",SRX11399990,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210505barcode13,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_07-19-20,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
SRR15090108,AMPLICON,508,2166078,PRJNA745177,SAMN20153139,SARS-CoV-2: wastewater surveillance,1997367,UNIVERSITY OF SOUTH CAROLINA,2020-07-15,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX11399989,USA,North America,"USA: South Carolina\, Rock Hill",GridION,WWTP influent,210505barcode25,SINGLE,RT-PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2021-09-30T00:00:00Z,RockHill_07-15-20,SRP327683,"264,117",24 h,raw wastewater,composite,yes,SARS-CoV_2,
