Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample_ID,Sample Name,sequence_submitter_contact_email (run),sequenced_by,sequencing_protocol_name (run),SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_jurisdiction,ww_surv_target_1_known_present,ww_surv_target_1,amplicon__PCR_primer_scheme (run),amplicon_size (run)
SRR17120649,AMPLICON,282,48527688,PRJNA771693,SAMN22335443,SARS-CoV-2: wastewater surveillance,20460339,TGEN NORTH,Aquavitas,2021-02-01,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305231,USA,North America,USA: New Jersey,NextSeq 500,wastewater,aquavitas_E043,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E43,aquavitas_E43,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,NJ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120650,AMPLICON,282,109896246,PRJNA771693,SAMN22335430,SARS-CoV-2: wastewater surveillance,45809969,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305230,USA,North America,USA: Maryland,NextSeq 500,wastewater,aquavitas_E029,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E29,aquavitas_E29,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MD,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120651,AMPLICON,282,75657780,PRJNA771693,SAMN22938053,SARS-CoV-2: wastewater surveillance,31683470,TGEN NORTH,Aquavitas,2021-02-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13305229,USA,North America,USA: Maine,NextSeq 500,wastewater,aquavitas_E591,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E591,aquavitas_E591,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,ME,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120652,AMPLICON,282,15946536,PRJNA771693,SAMN22938046,SARS-CoV-2: wastewater surveillance,6748718,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305228,USA,North America,USA: District of Columbia,NextSeq 500,wastewater,aquavitas_E584,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E584,aquavitas_E584,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,DC,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120653,AMPLICON,282,83637534,PRJNA771693,SAMN22938044,SARS-CoV-2: wastewater surveillance,34579072,TGEN NORTH,Aquavitas,2021-01-11,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305227,USA,North America,USA: District of Columbia,NextSeq 500,wastewater,aquavitas_E582,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E582,aquavitas_E582,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,DC,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120654,AMPLICON,282,90839532,PRJNA771693,SAMN22938017,SARS-CoV-2: wastewater surveillance,37953281,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305226,USA,North America,USA: Arizona,NextSeq 500,wastewater,aquavitas_E555,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E555,aquavitas_E555,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,AZ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120655,AMPLICON,282,76892094,PRJNA771693,SAMN22938015,SARS-CoV-2: wastewater surveillance,31775812,TGEN NORTH,Aquavitas,2021-01-11,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305225,USA,North America,USA: Arizona,NextSeq 500,wastewater,aquavitas_E553,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E553,aquavitas_E553,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,AZ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120656,AMPLICON,282,72997392,PRJNA771693,SAMN22938014,SARS-CoV-2: wastewater surveillance,30198723,TGEN NORTH,Aquavitas,2021-01-04,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13305224,USA,North America,USA: Arizona,NextSeq 500,wastewater,aquavitas_E552,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E552,aquavitas_E552,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,AZ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120657,AMPLICON,282,54665418,PRJNA771693,SAMN22938013,SARS-CoV-2: wastewater surveillance,22620430,TGEN NORTH,Aquavitas,2020-12-14,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305223,USA,North America,USA: Arizona,NextSeq 500,wastewater,aquavitas_E551,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E551,aquavitas_E551,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,AZ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120658,AMPLICON,282,90964176,PRJNA771693,SAMN22937991,SARS-CoV-2: wastewater surveillance,37754124,TGEN NORTH,Aquavitas,2021-02-08,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305222,USA,North America,USA: Florida,NextSeq 500,wastewater,aquavitas_E528,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E528,aquavitas_E528,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,FL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
