Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,purpose_of_ww_sampling,purpose_of_ww_sequencing
SRR23064225,RNA-Seq,116,4838344572,PRJNA772783,SAMN32287958,SARS-CoV-2: wastewater surveillance,1458066308,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX19017575,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,RSWRF5,RSWRF5,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:20:00Z,1,Rs5Jun,SRP342181,18000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064226,RNA-Seq,116,2446169140,PRJNA772783,SAMN32287957,SARS-CoV-2: wastewater surveillance,740590964,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX19017574,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,RSWRF4,RSWRF4,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:01:00Z,1,Rs4Jun,SRP342181,18000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064227,RNA-Seq,116,2768534532,PRJNA772783,SAMN32287956,SARS-CoV-2: wastewater surveillance,841863956,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19017573,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,RSWRF3,RSWRF3,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:00:00Z,1,Rs3May,SRP342181,18000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064228,RNA-Seq,118,9029609469,PRJNA772783,SAMN32287902,SARS-CoV-2: wastewater surveillance,2998282017,"UNIVERSITY OF NEVADA, RENO",2021-12,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX19017572,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF7,TMWRF7,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:36:00Z,1,ScWW7Dec,SRP342181,318000,9,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064229,RNA-Seq,116,3466770316,PRJNA772783,SAMN32287955,SARS-CoV-2: wastewater surveillance,1063557173,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX19017571,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,RSWRF2,RSWRF2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:04:00Z,1,Rs2May,SRP342181,18000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064230,RNA-Seq,69,3747472558,PRJNA772783,SAMN32287954,SARS-CoV-2: wastewater surveillance,1249019216,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX19017570,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,RSWRF1,RSWRF1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:09:00Z,1,Rs1May,SRP342181,18000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064231,RNA-Seq,302,1068037496,PRJNA772783,SAMN32287953,SARS-CoV-2: wastewater surveillance,351955983,"UNIVERSITY OF NEVADA, RENO",2022-11,public,"activ_sars2_vcf,run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017569,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF58,TMWRF58,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,ScWW58Nov,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064232,RNA-Seq,302,1107533962,PRJNA772783,SAMN32287952,SARS-CoV-2: wastewater surveillance,365488109,"UNIVERSITY OF NEVADA, RENO",2022-10,public,"sra,activ_sars2_vcf,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19017568,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF57,TMWRF57,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:54:00Z,1,ScWW57Oct,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064233,RNA-Seq,302,1158632664,PRJNA772783,SAMN32287951,SARS-CoV-2: wastewater surveillance,379007946,"UNIVERSITY OF NEVADA, RENO",2022-10,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX19017567,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF56,TMWRF56,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:54:00Z,1,ScWW56Oct,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064234,RNA-Seq,302,1695540344,PRJNA772783,SAMN32287950,SARS-CoV-2: wastewater surveillance,581095234,"UNIVERSITY OF NEVADA, RENO",2022-10,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX19017566,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF55,TMWRF55,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,ScWW55Oct,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
