Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,collection_site_id,concentration_method,extraction_control,extraction_method,project_name,purpose_of_ww_sampling,sequenced_by,ww_flow,ww_sample_site,ww_surv_target_1_extract,ww_surv_target_1_extract_unit,ww_surv_target_1_protocol,isolate
SRR20318463,AMPLICON,302,41275548,PRJNA796340,SAMN29836599,SARS-CoV-2: wastewater surveillance,23459550,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"fastq,activ_sars2_vcf,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX16351766,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-SS,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-SS,SRP354595,109414,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,67
SRR20318464,AMPLICON,302,103360708,PRJNA796340,SAMN29836598,SARS-CoV-2: wastewater surveillance,54548273,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,run.zq,activ_sars2_vcf,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX16351765,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-SG,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-SG,SRP354595,20608,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,66
SRR20318465,AMPLICON,302,38736936,PRJNA796340,SAMN29836597,SARS-CoV-2: wastewater surveillance,21112574,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX16351764,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-SE,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-SE,SRP354595,32485,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,65
SRR20318466,AMPLICON,302,34986096,PRJNA796340,SAMN29836596,SARS-CoV-2: wastewater surveillance,18910388,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,run.zq,activ_sars2_vcf,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX16351763,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-SB,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-SB,SRP354595,109414,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,64
SRR20318467,AMPLICON,302,34452462,PRJNA796340,SAMN29836595,SARS-CoV-2: wastewater surveillance,18935632,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX16351762,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-PT,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-PT,SRP354595,5497,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,63
SRR20318468,AMPLICON,302,43176336,PRJNA796340,SAMN29836594,SARS-CoV-2: wastewater surveillance,24366531,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,fastq,sra,activ_sars2_vcf","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX16351761,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-NW,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-NW,SRP354595,95600,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,62
SRR20318469,AMPLICON,302,31507962,PRJNA796340,SAMN29836593,SARS-CoV-2: wastewater surveillance,17267201,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,sra,fastq,activ_sars2_vcf","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX16351760,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-NO,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-NO,SRP354595,12892,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,61
SRR20318470,AMPLICON,243,36247910,PRJNA796340,SAMN29836539,SARS-CoV-2: wastewater surveillance,20329476,HOUSTON_WBE_SARS-COV-2,2021-04-19,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX16351759,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,0419-AS,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,0419-AS,SRP354595,117968,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,7
SRR20318471,AMPLICON,302,75166290,PRJNA796340,SAMN29836592,SARS-CoV-2: wastewater surveillance,39664443,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,activ_sars2_vcf,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX16351758,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-NG,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-NG,SRP354595,19867,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,60
SRR20318472,AMPLICON,302,34557860,PRJNA796340,SAMN29836591,SARS-CoV-2: wastewater surveillance,18692811,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX16351757,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-NE,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-NE,SRP354595,33102,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,59
