Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,collection_date (run),Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fasta_file (run),geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample (run),SAMPLE,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR18543372,AMPLICON,299,16187200,PRJNA819090,SAMN27108001,SARS-CoV-2: wastewater surveillance,1651548,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-27 00:00:00+00:00,2021-06-27,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX14673411,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42482,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42482,SEARCH-42482__E0000056__K01__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42482__E0000056__K01__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543373,AMPLICON,299,3209052,PRJNA819090,SAMN27108000,SARS-CoV-2: wastewater surveillance,540381,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-23 00:00:00+00:00,2021-06-23,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX14673410,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42477,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42477,SEARCH-42477__E0000056__P01__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42477__E0000056__P01__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543374,AMPLICON,299,9344031,PRJNA819090,SAMN27107999,SARS-CoV-2: wastewater surveillance,1004979,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-05 00:00:00+00:00,2021-05-05,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14673409,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42476,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42476,SEARCH-42476__E0000056__J03__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42476__E0000056__J03__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543375,AMPLICON,300,4508256,PRJNA819090,SAMN27107998,SARS-CoV-2: wastewater surveillance,553260,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"activ_sars2_vcf,sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14673408,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42475,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42475,SEARCH-42475__E0000056__N02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42475__E0000056__N02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543376,AMPLICON,299,7844378,PRJNA819090,SAMN27107997,SARS-CoV-2: wastewater surveillance,931474,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX14673407,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42474,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42474,SEARCH-42474__E0000056__O02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42474__E0000056__O02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543377,AMPLICON,299,1214342,PRJNA819090,SAMN27107996,SARS-CoV-2: wastewater surveillance,330557,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX14673406,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42473,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42473,SEARCH-42473__E0000056__J02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42473__E0000056__J02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543378,AMPLICON,299,8708992,PRJNA819090,SAMN27107995,SARS-CoV-2: wastewater surveillance,971375,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX14673405,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42472,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42472,SEARCH-42472__E0000056__P02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42472__E0000056__P02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543379,AMPLICON,299,7275784,PRJNA819090,SAMN27107994,SARS-CoV-2: wastewater surveillance,871225,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX14673404,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42471,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42471,SEARCH-42471__E0000056__K02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42471__E0000056__K02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543380,AMPLICON,300,5990170,PRJNA819090,SAMN27107796,SARS-CoV-2: wastewater surveillance,757074,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-03-03 00:00:00+00:00,2021-03-03,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14673403,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, San Diego (Point Loma)",Illumina NovaSeq 6000,city-wide wastewater treatment facility,SEARCH-40358,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-40358,SEARCH-40358__D102065a__P14__210723_A00953_0359_BHGY7MDSX2__002,SEARCH-40358__D102065a__P14__210723_A00953_0359_BHGY7MDSX2__002,SRP366703,2300000,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543381,AMPLICON,299,21228788,PRJNA819090,SAMN27107993,SARS-CoV-2: wastewater surveillance,2012420,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX14673402,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42470,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42470,SEARCH-42470__E0000056__M02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42470__E0000056__M02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
