Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_flow,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR18819024,AMPLICON,502,351759432,PRJNA827160,SAMN27605781,SARS-CoV-2: wastewater surveillance,200707444,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-03-11,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917456,Germany,Europe,Germany: Berlin WWTP 3,Illumina MiSeq,wastewater treatment facility,10,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,WW_210311_Berlin_KW3,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819025,AMPLICON,502,382915560,PRJNA827160,SAMN27605780,SARS-CoV-2: wastewater surveillance,216489707,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-03-11,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917455,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,9,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,WW_210311_Berlin_KW2,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819026,AMPLICON,502,238380222,PRJNA827160,SAMN27605779,SARS-CoV-2: wastewater surveillance,138069706,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-03-11,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917454,Germany,Europe,Germany: Berlin WWTP 1,Illumina MiSeq,wastewater treatment facility,8,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,WW_210311_Berlin_KW1,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819027,AMPLICON,317,15654093,PRJNA827160,SAMN27605833,SARS-CoV-2: wastewater surveillance,7505164,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-02-25,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917453,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,62,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,trimmed_220119-22-24h-mix_S24,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819028,AMPLICON,374,31939274,PRJNA827160,SAMN27605832,SARS-CoV-2: wastewater surveillance,14837201,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-02-19,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917452,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,61,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,trimmed_220119-20-22h-mix_S23,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819029,AMPLICON,502,216149654,PRJNA827160,SAMN27605778,SARS-CoV-2: wastewater surveillance,123704292,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-03-04,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917451,Germany,Europe,Germany: Berlin WWTP 6,Illumina MiSeq,wastewater treatment facility,7,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,WW_210304_Berlin_KW6,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819030,AMPLICON,469,193885931,PRJNA827160,SAMN27605831,SARS-CoV-2: wastewater surveillance,88316612,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-02-09,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917450,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,60,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,trimmed_220113-22-24h-mix_S22,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819031,AMPLICON,490,455949905,PRJNA827160,SAMN27605830,SARS-CoV-2: wastewater surveillance,209504995,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2022-01-13,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917449,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,59,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,trimmed_220113-20-22h-mix_S21,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819032,AMPLICON,382,14362619,PRJNA827160,SAMN27605829,SARS-CoV-2: wastewater surveillance,6905511,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2022-01-05,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917448,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,58,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_220105-22-24h-mix_S20,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819033,AMPLICON,447,37957396,PRJNA827160,SAMN27605828,SARS-CoV-2: wastewater surveillance,18000765,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2022-01-05,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917447,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,57,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_220105-20-22h-mix_S19,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
