Run,amplicon__PCR_primer_scheme (run),amplicon_size (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,collection_site_id,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,enrichment_kit (run),Experiment,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,purpose_of_ww_sampling,purpose_of_ww_sequencing,raw_sequence_data_processing_method (run),ReleaseDate,create_date,version,Sample Name,sequence_submitter_contact_email (run),sequenced_by,SRA Study,ww_population,ww_pre_treatment,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1,ww_surv_target_1_conc,Collection_time,ww_temperature,ww_ph,ww_industrial_effluent_percent
SRR22910906,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,299,2949936,PRJNA847239,SAMN32478875,SARS-CoV-2: wastewater surveillance,1751105,ASU_WBE,2022-04-11,14X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868551,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,3721,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:01:00Z,1,3721,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-614,7800,6:00:00,5.4,6.27,
SRR22910907,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,28803250,PRJNA847239,SAMN32478874,SARS-CoV-2: wastewater surveillance,12119479,ASU_WBE,2022-05-09,13X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868550,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,3869,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:02:00Z,1,3869,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-639,35300,6:00:00,6.7,6.99,
SRR22910908,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,4875639,PRJNA847239,SAMN32478873,SARS-CoV-2: wastewater surveillance,2100825,ASU_WBE,2022-04-25,13X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868549,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,3798,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:01:00Z,1,3798,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-626,12600,6:00:00,26.4,7.04,
SRR22910909,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,300,14790148,PRJNA847239,SAMN32478872,SARS-CoV-2: wastewater surveillance,6763863,ASU_WBE,2022-04-11,13X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868548,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,3720,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:01:00Z,1,3720,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-613,,6:00:00,5.5,7.22,
SRR22910910,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,6753022,PRJNA847239,SAMN32478871,SARS-CoV-2: wastewater surveillance,3008859,ASU_WBE,2022-05-09,12X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868547,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,3868,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:01:00Z,1,3868,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-638,88400,6:00:00,22.7,6.77,
SRR22910911,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,5634263,PRJNA847239,SAMN32478376,SARS-CoV-2: wastewater surveillance,2548611,ASU_WBE,2021-09-27,32X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868546,qiagen rneasy kit,USA,North America,"USA: Oregon\, Multnomah\, Gresham",Illumina HiSeq 2500,wastewater,B91,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:01:00Z,1,B91,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,wastewater treatment plant,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-137,366200,10:31:00,6.4,7.36,
SRR22910912,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,850885,PRJNA847239,SAMN32478870,SARS-CoV-2: wastewater surveillance,520714,ASU_WBE,2022-04-25,12X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868545,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,3797,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:01:00Z,1,3797,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-625,24700,6:00:00,6.5,6.6,
SRR22910913,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,282391291,PRJNA847239,SAMN32478634,SARS-CoV-2: wastewater surveillance,123371238,ASU_WBE,2022-01-10,27X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868544,qiagen rneasy kit,USA,North America,"USA: Kentucky\, Jefferson\, Luisville",Illumina HiSeq 2500,wastewater,B246,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:55:00Z,1,B246,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-402,188200,,,,
SRR22910914,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,300,113703,PRJNA847239,SAMN32478633,SARS-CoV-2: wastewater surveillance,144309,ASU_WBE,2021-12-12,27X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868543,qiagen rneasy kit,USA,North America,"USA: Kentucky\, Jefferson\, Luisville",Illumina HiSeq 2500,wastewater,B210,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:31:00Z,1,B210,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-366,137500,,,,
SRR22910915,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,497782976,PRJNA847239,SAMN32478632,SARS-CoV-2: wastewater surveillance,216187383,ASU_WBE,2022-01-10,26X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX18868542,qiagen rneasy kit,USA,North America,"USA: Kentucky\, Jefferson\, Luisville",Illumina HiSeq 2500,wastewater,B245,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2023-05-01T00:00:00Z,2022-12-29T02:10:00Z,1,B245,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-401,921600,,,,
