Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,collection_site_id,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,purpose_of_ww_sampling,purpose_of_ww_sequencing,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_population_source,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1,ww_surv_target_1_conc,ww_flow,instantaneous_flow,amplicon_PCR_primer_scheme (run),replicate
SRR27212772,AMPLICON,241,86282322,PRJNA850375,SAMN38843535,SARS-CoV-2: wastewater surveillance,47692932,CDPHE-COVID,CDPHE,2023-11-02,LF,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891726,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Boulder\, county",Illumina MiSeq,wastewater,LF20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,LF20231102,CDPHE,SRP393881,31429,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,LF20231102,copies/L,N2,no,SARS-CoV-2,"33,000",2.226,NaN,,
SRR27212773,AMPLICON,239,72306668,PRJNA850375,SAMN38843534,SARS-CoV-2: wastewater surveillance,39170885,CDPHE-COVID,CDPHE,2023-11-05,SJ,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891725,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Weld\, county",Illumina MiSeq,wastewater,SJ20231105,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,SJ20231105,CDPHE,SRP393881,83319,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SJ20231105,copies/L,N2,no,SARS-CoV-2,"29,000",7.71,NaN,,
SRR27212774,AMPLICON,250,60317478,PRJNA850375,SAMN38843533,SARS-CoV-2: wastewater surveillance,34376173,CDPHE-COVID,CDPHE,2023-11-02,MT,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891724,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Montrose\, county",Illumina MiSeq,wastewater,MT20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,MT20231102,CDPHE,SRP393881,30857,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,MT20231102,copies/L,N2,no,SARS-CoV-2,"23,000",2.3,NaN,,
SRR27212775,AMPLICON,245,66231630,PRJNA850375,SAMN38843532,SARS-CoV-2: wastewater surveillance,35975748,CDPHE-COVID,CDPHE,2023-11-01,SO,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891723,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Pueblo\, county",Illumina MiSeq,wastewater,SO20231101,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,SO20231101,CDPHE,SRP393881,96515,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SO20231101,copies/L,N2,no,SARS-CoV-2,"50,000",11.48,NaN,,
SRR27212776,AMPLICON,240,100759239,PRJNA850375,SAMN38843531,SARS-CoV-2: wastewater surveillance,55350506,CDPHE-COVID,CDPHE,2023-11-01,SR,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891722,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Denver Arapahoe\, county",Illumina MiSeq,wastewater,SR20231101,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,SR20231101,CDPHE,SRP393881,247443,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SR20231101,copies/L,N2,no,SARS-CoV-2,"35,000",17.2,NaN,,
SRR27212777,AMPLICON,238,116898615,PRJNA850375,SAMN38843530,SARS-CoV-2: wastewater surveillance,64493026,CDPHE-COVID,CDPHE,2023-11-03,DE,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891721,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Delta\, county",Illumina MiSeq,wastewater,DE20231103,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,DE20231103,CDPHE,SRP393881,6857,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,DE20231103,copies/L,N2,no,SARS-CoV-2,"9,600",1.099,NaN,,
SRR27212778,AMPLICON,243,92028889,PRJNA850375,SAMN38843556,SARS-CoV-2: wastewater surveillance,50173646,CDPHE-COVID,CDPHE,2023-11-02,AC,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891720,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Arapahoe\, county",Illumina MiSeq,wastewater,AC20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,AC20231102,CDPHE,SRP393881,25714,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,AC20231102,copies/L,N2,no,SARS-CoV-2,"46,000",2.5,NaN,,
SRR27212779,AMPLICON,246,82860881,PRJNA850375,SAMN38843529,SARS-CoV-2: wastewater surveillance,46220717,CDPHE-COVID,CDPHE,2023-11-02,PG,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891719,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Archuleta\, county",Illumina MiSeq,wastewater,PG20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,PG20231102,CDPHE,SRP393881,27857,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,PG20231102,copies/L,N2,no,SARS-CoV-2,"50,000",0.968585,NaN,,
SRR27212780,AMPLICON,250,58564245,PRJNA850375,SAMN38843555,SARS-CoV-2: wastewater surveillance,32947626,CDPHE-COVID,CDPHE,2023-11-03,WS,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891718,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Weld\, county",Illumina MiSeq,wastewater,WS20231103,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T18:48:00Z,1,WS20231103,CDPHE,SRP393881,20000,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,WS20231103,copies/L,N2,no,SARS-CoV-2,"3,800",2.203,NaN,,
SRR27212781,AMPLICON,245,67167418,PRJNA850375,SAMN38843554,SARS-CoV-2: wastewater surveillance,41635852,CDPHE-COVID,CDPHE,2023-11-01,SJ,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891717,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Weld\, county",Illumina MiSeq,wastewater,SJ20231101,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,SJ20231101,CDPHE,SRP393881,83319,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SJ20231101,copies/L,N2,no,SARS-CoV-2,"17,000",7.59,NaN,,
