Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR19994935,AMPLICON,148,450415266,PRJNA856091,SAMN29439585,SARS-CoV-2: wastewater surveillance,341030479,TECHNICAL UNIVERSITY OF DARMSTADT,K,2022-02-01,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036131,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRS_2022-02-01,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:40:00Z,1,FRS_2022-02-01,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994936,AMPLICON,142,648355026,PRJNA856091,SAMN29439584,SARS-CoV-2: wastewater surveillance,493245824,TECHNICAL UNIVERSITY OF DARMSTADT,J,2022-02-01,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036130,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRG_2022-02-01,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:40:00Z,1,FRG_2022-02-01,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994937,AMPLICON,143,1197995502,PRJNA856091,SAMN29439583,SARS-CoV-2: wastewater surveillance,875993295,TECHNICAL UNIVERSITY OF DARMSTADT,D,2022-01-25,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036129,Germany,Europe,Germany,Ion Torrent S5,wastewater,FLD_2022-01-25,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FLD_2022-01-25,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994938,AMPLICON,156,1483628520,PRJNA856091,SAMN29439582,SARS-CoV-2: wastewater surveillance,1094768202,TECHNICAL UNIVERSITY OF DARMSTADT,Z,2022-01-25,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036128,Germany,Europe,Germany,Ion Torrent S5,wastewater,BDH_2022-01-25,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,BDH_2022-01-25,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994939,AMPLICON,140,1062433370,PRJNA856091,SAMN29439581,SARS-CoV-2: wastewater surveillance,782157555,TECHNICAL UNIVERSITY OF DARMSTADT,M,2022-01-25,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16036127,Germany,Europe,Germany,Ion Torrent S5,wastewater,GIS_2022-01-25,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,GIS_2022-01-25,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994940,AMPLICON,135,1217241361,PRJNA856091,SAMN29439580,SARS-CoV-2: wastewater surveillance,898483503,TECHNICAL UNIVERSITY OF DARMSTADT,L,2022-01-25,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036126,Germany,Europe,Germany,Ion Torrent S5,wastewater,LML_2022-01-25,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,LML_2022-01-25,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994941,AMPLICON,149,1116511610,PRJNA856091,SAMN29439579,SARS-CoV-2: wastewater surveillance,831426560,TECHNICAL UNIVERSITY OF DARMSTADT,F,2022-01-25,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036125,Germany,Europe,Germany,Ion Torrent S5,wastewater,VHL_2022-01-25,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,VHL_2022-01-25,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994942,AMPLICON,144,894272090,PRJNA856091,SAMN29439578,SARS-CoV-2: wastewater surveillance,663619137,TECHNICAL UNIVERSITY OF DARMSTADT,U,2022-01-25,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036124,Germany,Europe,Germany,Ion Torrent S5,wastewater,KSL_2022-01-25,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,KSL_2022-01-25,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994943,AMPLICON,155,1419997984,PRJNA856091,SAMN29439577,SARS-CoV-2: wastewater surveillance,1033882318,TECHNICAL UNIVERSITY OF DARMSTADT,V,2022-01-18,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16036123,Germany,Europe,Germany,Ion Torrent S5,wastewater,WBR_2022-01-18,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,WBR_2022-01-18,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994944,AMPLICON,156,1054476400,PRJNA856091,SAMN29439576,SARS-CoV-2: wastewater surveillance,768050115,TECHNICAL UNIVERSITY OF DARMSTADT,S,2022-01-18,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036122,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRG_2022-01-18,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FRG_2022-01-18,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
