Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,purpose_of_ww_sampling
SRR31838493,AMPLICON,531,40050688,PRJNA896334,SAMN45996635,SARS-CoV-2: wastewater surveillance,39702282,CSIR-NCL,2024-01-08,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198916,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN148_barcode69,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-249,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838494,AMPLICON,551,59695258,PRJNA896334,SAMN45996634,SARS-CoV-2: wastewater surveillance,58942667,CSIR-NCL,2024-01-04,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198915,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN147_barcode39,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-248,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838495,AMPLICON,71,110906374,PRJNA896334,SAMN45996562,SARS-CoV-2: wastewater surveillance,45165842,CSIR-NCL,2022-07-18,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198914,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP14753,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-99,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838496,AMPLICON,595,7968031,PRJNA896334,SAMN45996633,SARS-CoV-2: wastewater surveillance,7874713,CSIR-NCL,2024-01-01,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198913,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN147_barcode23,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-247,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838497,AMPLICON,533,44421710,PRJNA896334,SAMN45996632,SARS-CoV-2: wastewater surveillance,44127693,CSIR-NCL,2023-12-28,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198912,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN147_barcode17,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-246,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838498,AMPLICON,594,58433278,PRJNA896334,SAMN45996631,SARS-CoV-2: wastewater surveillance,57265774,CSIR-NCL,2023-12-25,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198911,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN147_barcode06,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-245,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838499,AMPLICON,515,45955006,PRJNA896334,SAMN45996630,SARS-CoV-2: wastewater surveillance,45703696,CSIR-NCL,2023-12-21,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198910,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN143_barcode17,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-244,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838500,AMPLICON,495,46441516,PRJNA896334,SAMN45996629,SARS-CoV-2: wastewater surveillance,46377687,CSIR-NCL,2023-12-19,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198909,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN143_barcode06,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-243,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838501,AMPLICON,667,9803546,PRJNA896334,SAMN45996628,SARS-CoV-2: wastewater surveillance,9563893,CSIR-NCL,2023-12-14,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198908,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode72,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-242,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838502,AMPLICON,583,33519477,PRJNA896334,SAMN45996627,SARS-CoV-2: wastewater surveillance,32884976,CSIR-NCL,2023-12-11,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198907,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode56,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-241,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838503,AMPLICON,683,34024363,PRJNA896334,SAMN45996626,SARS-CoV-2: wastewater surveillance,33016132,CSIR-NCL,2023-12-07,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198906,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode50,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-240,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838504,AMPLICON,617,12978932,PRJNA896334,SAMN45996625,SARS-CoV-2: wastewater surveillance,12748359,CSIR-NCL,2023-12-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198905,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode34,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-239,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838505,AMPLICON,587,58717390,PRJNA896334,SAMN45996624,SARS-CoV-2: wastewater surveillance,57523449,CSIR-NCL,2023-11-30,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198904,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode28,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-238,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838506,AMPLICON,71,126008185,PRJNA896334,SAMN45996561,SARS-CoV-2: wastewater surveillance,51221581,CSIR-NCL,2022-07-11,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198903,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP14744,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-97,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838507,AMPLICON,661,43662774,PRJNA896334,SAMN45996623,SARS-CoV-2: wastewater surveillance,42484773,CSIR-NCL,2023-11-27,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198902,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode12,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-237,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838508,AMPLICON,631,132464088,PRJNA896334,SAMN45996622,SARS-CoV-2: wastewater surveillance,129235483,CSIR-NCL,2023-11-23,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198901,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN140_barcode06,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-236,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838509,AMPLICON,428,143223004,PRJNA896334,SAMN45996621,SARS-CoV-2: wastewater surveillance,146035102,CSIR-NCL,2023-11-20,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198900,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode44,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-235,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
