Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sequence_submitter_contact_email (run),sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,replicate
SRR23050835,ARTIC V4.1,AMPLICON,577,96353453,PRJNA922726,SAMN32677036,SARS-CoV-2: wastewater surveillance,53940567,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004359,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-51495_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T10:19:00Z,3,22-51495_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050839,ARTIC V4.1,AMPLICON,591,139528855,PRJNA922726,SAMN32677095,SARS-CoV-2: wastewater surveillance,77341895,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-12,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004355,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-55691_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T22:42:00Z,3,22-55691_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050842,ARTIC V4.1,AMPLICON,589,148081412,PRJNA922726,SAMN32677092,SARS-CoV-2: wastewater surveillance,85612835,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-02,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004352,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-53993_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-07T06:28:00Z,3,22-53993_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050852,ARTIC V4.1,AMPLICON,574,99808593,PRJNA922726,SAMN32677083,SARS-CoV-2: wastewater surveillance,55979720,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-28,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004342,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-59223_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-07T04:27:00Z,3,22-59223_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050853,ARTIC V4.1,AMPLICON,567,131728203,PRJNA922726,SAMN32677082,SARS-CoV-2: wastewater surveillance,77707302,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-27,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004341,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-59054_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-01-25T15:42:00Z,3,22-59054_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050854,ARTIC V4.1,AMPLICON,596,184163766,PRJNA922726,SAMN32677081,SARS-CoV-2: wastewater surveillance,101496768,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004340,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-58712_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-07T06:28:00Z,3,22-58712_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050862,ARTIC V4.1,AMPLICON,572,164793088,PRJNA922726,SAMN32677074,SARS-CoV-2: wastewater surveillance,92126089,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004332,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-56561_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-05T14:57:00Z,3,22-56561_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050870,ARTIC V4.1,AMPLICON,584,153846319,PRJNA922726,SAMN32677067,SARS-CoV-2: wastewater surveillance,92857058,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004324,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-53681_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T04:44:00Z,3,22-53681_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,1
SRR23050878,ARTIC V4.1,AMPLICON,582,124402851,PRJNA922726,SAMN32677059,SARS-CoV-2: wastewater surveillance,69244563,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004316,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-55516_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-04T23:29:00Z,3,22-55516_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050883,ARTIC V4.1,AMPLICON,580,198331400,PRJNA922726,SAMN32677055,SARS-CoV-2: wastewater surveillance,111421392,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-08,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004311,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-54822_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T08:51:00Z,3,22-54822_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,1
