Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,Sample_ID
SRR28746901,AMPLICON,358,12838126,PRJNA931732,SAMN41004303,SARS-CoV-2: wastewater surveillance,12873449,CSIR-NCL,2022-07-14,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312734,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S618,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN86_barcode56,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S618
SRR28746902,AMPLICON,339,4498505,PRJNA931732,SAMN41004302,SARS-CoV-2: wastewater surveillance,4597399,CSIR-NCL,2022-07-14,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312733,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S617,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode55,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S617
SRR28746903,AMPLICON,324,11196688,PRJNA931732,SAMN41004301,SARS-CoV-2: wastewater surveillance,11379801,CSIR-NCL,2022-07-13,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312732,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S616,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN86_barcode54,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S616
SRR28746904,AMPLICON,323,16699200,PRJNA931732,SAMN41004300,SARS-CoV-2: wastewater surveillance,16899423,CSIR-NCL,2022-07-13,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312731,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S615,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode53,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S615
SRR28746905,AMPLICON,333,16313686,PRJNA931732,SAMN41004299,SARS-CoV-2: wastewater surveillance,16287057,CSIR-NCL,2022-07-13,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312730,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S614,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN86_barcode52,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S614
SRR28746906,AMPLICON,279,9943473,PRJNA931732,SAMN41004298,SARS-CoV-2: wastewater surveillance,10281369,CSIR-NCL,2022-07-13,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312729,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S613,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN86_barcode51,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S613
SRR28746907,AMPLICON,353,47146656,PRJNA931732,SAMN41004297,SARS-CoV-2: wastewater surveillance,47404432,CSIR-NCL,2022-07-01,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312728,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S612,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode48,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S612
SRR28746908,AMPLICON,369,44521850,PRJNA931732,SAMN41004296,SARS-CoV-2: wastewater surveillance,44081283,CSIR-NCL,2022-07-01,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312727,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S611,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode47,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S611
SRR28746909,AMPLICON,477,19206358,PRJNA931732,SAMN41004233,SARS-CoV-2: wastewater surveillance,18739731,CSIR-NCL,2023-04-11,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312726,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S548,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN115_barcode10,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S548
SRR28746910,AMPLICON,373,42409569,PRJNA931732,SAMN41004295,SARS-CoV-2: wastewater surveillance,42341909,CSIR-NCL,2022-07-01,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312725,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S610,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode46,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S610
