Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,collection_date (run),Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fasta_file (run),geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SAMPLE,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR23702726,AMPLICON,294,386175822,PRJNA941107,SAMN33590073,SARS-CoV-2: wastewater surveillance,92917758,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/14/21,2021-06-14,public,"sra,bam,activ_sars2_vcf,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX19564619,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: CENTRAL WASTEWATER TREATMENT WORKS\, ETHEKWINI\, Kwa-Zulu Natal",NextSeq 2000,urban wastewater treatment facility,21-044,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-044,21-044,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702727,AMPLICON,292,273349604,PRJNA941107,SAMN33590072,SARS-CoV-2: wastewater surveillance,69495626,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/14/21,2021-06-14,public,"sra,bam,run.zq,activ_sars2_vcf","gs,ncbi,s3","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX19564618,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Northern Wastewater\, ETHEKWINI\, Kwa-Zulu Natal",NextSeq 2000,urban wastewater treatment facility,21-043,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-043,21-043,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702728,AMPLICON,294,510605290,PRJNA941107,SAMN33590071,SARS-CoV-2: wastewater surveillance,127663193,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/14/21,2021-06-14,public,"sra,bam,run.zq,activ_sars2_vcf","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX19564617,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Zandvleit Wastewater\, City of Cape Town MM\, Western Cape",NextSeq 2000,urban wastewater treatment facility,21-042,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-042,21-042,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702729,AMPLICON,293,449808127,PRJNA941107,SAMN33590070,SARS-CoV-2: wastewater surveillance,108609105,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/15/21,2021-06-15,public,"sra,bam,activ_sars2_vcf,run.zq","ncbi,gs,s3","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX19564616,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Daspoort Wastewater\, Tshwane \, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-041,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-041,21-041,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702730,AMPLICON,293,484413471,PRJNA941107,SAMN33590069,SARS-CoV-2: wastewater surveillance,118199397,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/15/21,2021-06-15,public,"sra,activ_sars2_vcf,run.zq,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1,gs.US",SRX19564615,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Hartebeesfontein Waterworks\, Ekurhuleni\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-040,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-040,21-040,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702731,AMPLICON,294,503912554,PRJNA941107,SAMN33590068,SARS-CoV-2: wastewater surveillance,120896415,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/15/21,2021-06-15,public,"activ_sars2_vcf,sra,run.zq,bam","ncbi,gs,s3","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX19564614,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Rooiwal Wastewater Treatment Works\, Tshwane \, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-039,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-039,21-039,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702732,AMPLICON,294,493929056,PRJNA941107,SAMN33590067,SARS-CoV-2: wastewater surveillance,119023657,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/14/21,2021-06-14,public,"sra,run.zq,activ_sars2_vcf,bam","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX19564613,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: GOUDKOPPIES WWTW\, Johannesburg MM\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-038,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-038,21-038,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702733,AMPLICON,293,386208577,PRJNA941107,SAMN33590066,SARS-CoV-2: wastewater surveillance,95043248,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/14/21,2021-06-14,public,"bam,activ_sars2_vcf,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX19564612,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: ERWAT VLAKPLAATS WWTW\, Ekurhuleni\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-037,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-037,21-037,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702734,AMPLICON,293,262586774,PRJNA941107,SAMN33590065,SARS-CoV-2: wastewater surveillance,65486771,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/7/21,2021-06-07,public,"bam,sra,run.zq,activ_sars2_vcf","s3,gs,ncbi","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX19564611,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: CENTRAL WASTEWATER TREATMENT WORKS\, ETHEKWINI\, Kwa-Zulu Natal",NextSeq 2000,urban wastewater treatment facility,21-036,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-036,21-036,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702735,AMPLICON,293,386279280,PRJNA941107,SAMN33590002,SARS-CoV-2: wastewater surveillance,94752556,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,4/20/21,2021-04-20,public,"activ_sars2_vcf,run.zq,sra,bam","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX19564610,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Bloemspruit Wastewater\, MANGAUNG\, Free State",NextSeq 2000,urban wastewater treatment facility,21-0155,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-0155,21-0155,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702736,AMPLICON,293,325526932,PRJNA941107,SAMN33590064,SARS-CoV-2: wastewater surveillance,79809357,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/8/21,2021-06-08,public,"sra,activ_sars2_vcf,run.zq,bam","ncbi,gs,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX19564609,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Bloemspruit Wastewater\, MANGAUNG\, Free State",NextSeq 2000,urban wastewater treatment facility,21-035,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-035,21-035,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702737,AMPLICON,290,415763542,PRJNA941107,SAMN33590063,SARS-CoV-2: wastewater surveillance,97333764,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/10/21,2021-08-10,public,"sra,run.zq,activ_sars2_vcf,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX19564608,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Borcheds Quarry Wastewater\, City of Cape Town MM\, Western Cape",NextSeq 2000,urban wastewater treatment facility,21-0346,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0346,21-0346,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
