Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,purpose_of_ww_sampling,purpose_of_ww_sequencing,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1,ww_endog_control_1_units,ww_endog_control_2_units,ww_flow,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_jurisdiction,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_extract,ww_surv_target_1_extract_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1,ww_surv_target_2_conc_unit,ww_surv_target_2_extract_unit,collected_by,sequenced_by,ww_pre_treatment,ww_temperature,ww_sample_salinity,ww_endog_control_2_conc,ww_endog_control_2_protocol,ww_endog_control_2,ww_ph,lat_lon,secondary_sample_name,samp_rep_tech,collected_by (run),collection_date (run),filename2,Filename,geo_loc_name (run),isolation_source (run),organism (run),purpose_of_ww_sampling (run),purpose_of_ww_sequencing (run),sample_ID (run),Sample_id,sequenced_by[1] (run),sequenced_by[1],sequenced_by[2] (run),sequenced_by[2],ww_endog_control_1_conc (run),ww_endog_control_1_protocol (run),ww_endog_control_1 (run),ww_endog_control_1_units (run),ww_endog_control_2_units (run),ww_flow (run),ww_population (run),ww_sample_duration (run),ww_sample_matrix (run),ww_sample_site (run),ww_sample_type (run),ww_surv_jurisdiction (run),ww_surv_target_1_conc (run),ww_surv_target_1_conc_unit (run),ww_surv_target_1_extract (run),ww_surv_target_1_extract_unit (run),ww_surv_target_1_gene (run),ww_surv_target_1_known_present (run),ww_surv_target_1_protocol (run),ww_surv_target_1 (run),ww_surv_target_2_conc_unit (run),ww_surv_target_2_extract_unit (run),filename3,filename4,ww_temperature (run),ww_sample_salinity (run),ww_ph (run)
SRR25070751,AMPLICON,202,155174582,PRJNA946141,SAMN36071604,SARS-CoV-2: wastewater surveillance,56113906,UNIVERSITY OF MIAMI,2020-11-25,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,gs.US,s3.us-east-1",SRX20824860,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WG02g-201125-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,WG02g-201125-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,2560.5,V2G-qPCR,SARS,copies/L,copies/L,0,1409,24,raw wastewater,college or university,grab,FL,13048.2,copies/L,36.245,count,NC,yes,V2G-qPCR,SARS-CoV-2,copies/L,count,University of Miami,,,26.8,0.2,,,,5.9,,,,University of Miami,2020-11-25,Babler-13461-012-ARTIC_S44_L001_R2_001.fastq.gz,Babler-13461-012-ARTIC_S44_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WG02g-201125,WG02g-201125,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,2560.5,V2G-qPCR,SARS,copies/L,copies/L,0,1409,24,raw wastewater,college or university,grab,FL,13048.2,copies/L,36.245,count,NC,Yes,V2G-qPCR,SARS-CoV-2,copies/L,count,Babler-13461-012-ARTIC_S44_L002_R1_001.fastq.gz,Babler-13461-012-ARTIC_S44_L002_R2_001.fastq.gz,26.8,0.2,5.9
SRR25070752,AMPLICON,202,774716460,PRJNA946141,SAMN36071580,SARS-CoV-2: wastewater surveillance,276123394,UNIVERSITY OF MIAMI,2020-11-25,public,"activ_sars2_vcf,run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX20824859,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WG0U-201125-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:21:00Z,1,WG0U-201125-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,20328.75,V2G-qPCR,SARS,copies/L,copies/L,0,766,24,raw wastewater,college or university,grab,FL,28105.5,copies/L,93.685,count,NC,yes,V2G-qPCR,SARS-CoV-2,copies/L,count,University of Miami,,,23.8,0,,,,7.73,,,,University of Miami,2020-11-25,Babler-13461-009-ARTIC_S41_L001_R2_001.fastq.gz,Babler-13461-009-ARTIC_S41_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WG0U-201125,WG0U-201125,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,20328.75,V2G-qPCR,SARS,copies/L,copies/L,0,766,24,raw wastewater,college or university,grab,FL,28105.5,copies/L,93.685,count,NC,Yes,V2G-qPCR,SARS-CoV-2,copies/L,count,Babler-13461-009-ARTIC_S41_L002_R1_001.fastq.gz,Babler-13461-009-ARTIC_S41_L002_R2_001.fastq.gz,23.8,0,7.73
SRR25070753,AMPLICON,202,308939204,PRJNA946141,SAMN36071621,SARS-CoV-2: wastewater surveillance,109800647,UNIVERSITY OF MIAMI,2022-12-13,public,"sra,fastq,run.zq,activ_sars2_vcf","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRX20824858,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WSAC-221213-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WSAC-221213-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,4361.53846153846,copies/L,9.454,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,,,,,,,,,,University of Miami,2022-12-13,Babler-13461-101-ARTIC_S131_L001_R2_001.fastq.gz,Babler-13461-101-ARTIC_S131_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WSAC-221213,WSAC-221213,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,4361.53846153846,copies/L,9.454,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-101-ARTIC_S131_L002_R1_001.fastq.gz,Babler-13461-101-ARTIC_S131_L002_R2_001.fastq.gz,,,
SRR25070754,AMPLICON,202,280512754,PRJNA946141,SAMN36071572,SARS-CoV-2: wastewater surveillance,100713464,UNIVERSITY OF MIAMI,2020-11-25,public,"fastq,activ_sars2_vcf,sra,run.zq","ncbi,s3,gs","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX20824783,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WG0S-201125-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WG0S-201125-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,22078.125,V2G-qPCR,SARS,copies/L,copies/L,0,831,24,raw wastewater,college or university,grab,FL,1905.75,copies/L,4.235,count,NC,yes,V2G-qPCR,SARS-CoV-2,copies/L,count,University of Miami,,,25,0,,,,7.95,,,,University of Miami,2020-11-25,Babler-13461-032-ARTIC_S64_L001_R2_001.fastq.gz,Babler-13461-032-ARTIC_S64_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WG0S-201125,WG0S-201125,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,22078.125,V2G-qPCR,SARS,copies/L,copies/L,0,831,24,raw wastewater,college or university,grab,FL,1905.75,copies/L,4.235,count,NC,Yes,V2G-qPCR,SARS-CoV-2,copies/L,count,Babler-13461-032-ARTIC_S64_L002_R1_001.fastq.gz,Babler-13461-032-ARTIC_S64_L002_R2_001.fastq.gz,25,0,7.95
SRR25070755,AMPLICON,202,444565236,PRJNA946141,SAMN36071649,SARS-CoV-2: wastewater surveillance,158519046,UNIVERSITY OF MIAMI,2022-12-06,public,"activ_sars2_vcf,fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRX20824857,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WSNS-221206-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WSNS-221206-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,27080,copies/L,27.08,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,,,,,,,,,,University of Miami,2022-12-06,Babler-13461-065-ARTIC_S97_L001_R2_001.fastq.gz,Babler-13461-065-ARTIC_S97_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WSNS-221206,WSNS-221206,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,27080,copies/L,27.08,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-065-ARTIC_S97_L002_R1_001.fastq.gz,Babler-13461-065-ARTIC_S97_L002_R2_001.fastq.gz,,,
SRR25070756,AMPLICON,202,142298900,PRJNA946141,SAMN36071640,SARS-CoV-2: wastewater surveillance,51388945,UNIVERSITY OF MIAMI,2022-12-06,public,"activ_sars2_vcf,sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX20824856,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WSJ2-221206-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WSJ2-221206-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,3610,copies/L,1.801,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,,,,,,,,,,University of Miami,2022-12-06,Babler-13461-104-ARTIC_S134_L001_R2_001.fastq.gz,Babler-13461-104-ARTIC_S134_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WSJ2-221206,WSJ2-221206,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,3610,copies/L,1.801,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-104-ARTIC_S134_L002_R1_001.fastq.gz,Babler-13461-104-ARTIC_S134_L002_R2_001.fastq.gz,,,
SRR25070757,AMPLICON,202,779244088,PRJNA946141,SAMN36071624,SARS-CoV-2: wastewater surveillance,284555158,UNIVERSITY OF MIAMI,2022-12-06,public,"sra,activ_sars2_vcf,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX20824831,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WSB2-221206-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:23:00Z,1,WSB2-221206-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,71165,copies/L,71.161,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,,,,,,,,,,University of Miami,2022-12-06,Babler-13461-053-ARTIC_S85_L001_R2_001.fastq.gz,Babler-13461-053-ARTIC_S85_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WSB2-221206,WSB2-221206,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,BDL,V2G-qPCR,SARS,copies/L,copies/L,0,0,24,raw wastewater,school,grab,FL,71165,copies/L,71.161,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-053-ARTIC_S85_L002_R1_001.fastq.gz,Babler-13461-053-ARTIC_S85_L002_R2_001.fastq.gz,,,
SRR25070758,AMPLICON,202,326702680,PRJNA946141,SAMN36071557,SARS-CoV-2: wastewater surveillance,116266903,UNIVERSITY OF MIAMI,2022-09-14,public,"run.zq,sra,fastq,activ_sars2_vcf","s3,ncbi,gs","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX20824854,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WC0Dc-220914-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WC0Dc-220914-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,108732,V2G-qPCR,SARS,copies/L,copies/L,0,829725,24,raw wastewater,Not Applicable,composite,FL,13200,copies/L,5.48,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,16.4,1.97,,,,,,,,University of Miami,2022-09-14,Babler-13461-076-ARTIC_S108_L001_R2_001.fastq.gz,Babler-13461-076-ARTIC_S108_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WC0Dc-220914,WC0Dc-220914,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,108732,V2G-qPCR,SARS,copies/L,copies/L,0,829725,24,raw wastewater,Not Applicable,composite,FL,13200,copies/L,5.48,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-076-ARTIC_S108_L002_R1_001.fastq.gz,Babler-13461-076-ARTIC_S108_L002_R2_001.fastq.gz,16.4,1.97,
SRR25070759,AMPLICON,202,829794386,PRJNA946141,SAMN36071586,SARS-CoV-2: wastewater surveillance,294197131,UNIVERSITY OF MIAMI,2022-09-14,public,"run.zq,fastq,activ_sars2_vcf,sra","s3,gs,ncbi","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",SRX20824853,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WG0U-220914-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WG0U-220914-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,549952.5,V2G-qPCR,SARS,copies/L,copies/L,0,766,24,raw wastewater,college or university,grab,FL,105825,copies/L,70.543,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,27.8,0.27,,,,8.38,,,,University of Miami,2022-09-14,Babler-13461-050-ARTIC_S82_L001_R2_001.fastq.gz,Babler-13461-050-ARTIC_S82_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WG0U-220914,WG0U-220914,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,549952.5,V2G-qPCR,SARS,copies/L,copies/L,0,766,24,raw wastewater,college or university,grab,FL,105825,copies/L,70.543,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-050-ARTIC_S82_L002_R1_001.fastq.gz,Babler-13461-050-ARTIC_S82_L002_R2_001.fastq.gz,27.8,0.27,8.38
SRR25070760,AMPLICON,202,176258534,PRJNA946141,SAMN36071619,SARS-CoV-2: wastewater surveillance,63066300,UNIVERSITY OF MIAMI,2022-09-14,public,"sra,activ_sars2_vcf,fastq,run.zq","ncbi,gs,s3","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX20824852,USA,North America,USA: Florida,Illumina NovaSeq 6000,wastewater,WM08-220914-20,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,WM08-220914-20,SRP427995,public health surveillance community-level,detection of target by RT PCR or ddPCR,560970,V2G-qPCR,SARS,copies/L,copies/L,0,340,24,raw wastewater,hospital,grab,FL,3900,copies/L,1.3315,count,NC,yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,University of Miami,,,29.6,0.39,,,,6.24,,,,University of Miami,2022-09-14,Babler-13461-103-ARTIC_S133_L001_R2_001.fastq.gz,Babler-13461-103-ARTIC_S133_L001_R1_001.fastq.gz,USA: Florida,Wastewater,wastewater metagenome,public health surveillance community-level,detection of target by RT PCR or ddPCR,WM08-220914,WM08-220914,University of Miami,University of Miami,Bio-Rad/admin,Bio-Rad/admin,560970,V2G-qPCR,SARS,copies/L,copies/L,0,340,24,raw wastewater,hospital,grab,FL,3900,copies/L,1.3315,count,NC,Yes,SARS-CoV-2,SARS-CoV-2,copies/L,count,Babler-13461-103-ARTIC_S133_L002_R1_001.fastq.gz,Babler-13461-103-ARTIC_S133_L002_R2_001.fastq.gz,29.6,0.39,6.24
