Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),enrichment_kit (run),Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_known_present,ww_surv_target_1,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_surv_jurisdiction,sequence_submitter_contact_email (run),Sample_name,sample_title
SRR25821042,artic-v5.3.2_400,AMPLICON,546,2082364830,PRJNA957477,SAMN37205586,SARS-CoV-2: wastewater surveillance,683086489,VERILY_WW,2023-08-07,Ceres Nanotrap Microbiome A,public,"sra,run.zq,activ_sars2_vcf","gs,ncbi,s3","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542791,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_219-230807.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-06T06:33:00Z,3,VLT_219-230807,Verily Life Sciences,SRP433461,97000,24,post grit removal,wastewater treatment plant,composite,219-230807,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821043,artic-v5.3.2_400,AMPLICON,543,1197952709,PRJNA957477,SAMN37205649,SARS-CoV-2: wastewater surveillance,390088634,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"sra,activ_sars2_vcf,run.zq","ncbi,gs,s3","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542790,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_89-230815.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-03T03:15:00Z,3,VLT_89-230815,Verily Life Sciences,SRP433461,4000000,24,post grit removal,wastewater treatment plant,composite,89-230815,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821044,artic-v5.3.2_400,AMPLICON,549,1280200801,PRJNA957477,SAMN37205648,SARS-CoV-2: wastewater surveillance,410718290,VERILY_WW,2023-08-17,Ceres Nanotrap Microbiome A,public,"run.zq,sra,activ_sars2_vcf","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542789,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SESF120460.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-04T11:48:00Z,3,VLT_SESF120460,Verily Life Sciences,SRP433461,750000,0,primary sludge,wastewater treatment plant,grab,SESF120460,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821045,artic-v5.3.2_400,AMPLICON,534,1475630255,PRJNA957477,SAMN37205648,SARS-CoV-2: wastewater surveillance,466872869,VERILY_WW,2023-08-17,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","ncbi,s3,gs","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542788,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SESF120460.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-07T07:04:00Z,3,VLT_SESF120460,Verily Life Sciences,SRP433461,750000,0,primary sludge,wastewater treatment plant,grab,SESF120460,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821046,artic-v5.3.2_400,AMPLICON,475,1556369238,PRJNA957477,SAMN37205647,SARS-CoV-2: wastewater surveillance,497146790,VERILY_WW,2023-08-17,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542787,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SAC901691.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-03T15:11:00Z,3,VLT_SAC901691,Verily Life Sciences,SRP433461,1480000,0,primary sludge,wastewater treatment plant,grab,SAC901691,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821047,artic-v5.3.2_400,AMPLICON,503,1479929344,PRJNA957477,SAMN37205647,SARS-CoV-2: wastewater surveillance,472726973,VERILY_WW,2023-08-17,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542786,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SAC901691.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-01-31T10:55:00Z,3,VLT_SAC901691,Verily Life Sciences,SRP433461,1480000,0,primary sludge,wastewater treatment plant,grab,SAC901691,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821048,artic-v5.3.2_400,AMPLICON,328,1620881651,PRJNA957477,SAMN37205646,SARS-CoV-2: wastewater surveillance,518855670,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542785,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SJ200949.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-02T10:46:00Z,3,VLT_SJ200949,Verily Life Sciences,SRP433461,1500000,0,primary sludge,wastewater treatment plant,grab,SJ200949,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821049,artic-v5.3.2_400,AMPLICON,344,1590254253,PRJNA957477,SAMN37205646,SARS-CoV-2: wastewater surveillance,514948527,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"run.zq,sra,activ_sars2_vcf","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542784,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SJ200949.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-05T21:29:00Z,3,VLT_SJ200949,Verily Life Sciences,SRP433461,1500000,0,primary sludge,wastewater treatment plant,grab,SJ200949,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821050,artic-v5.3.2_400,AMPLICON,541,1393662167,PRJNA957477,SAMN37205645,SARS-CoV-2: wastewater surveillance,445238072,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542783,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SESF120522.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-06T12:41:00Z,3,VLT_SESF120522,Verily Life Sciences,SRP433461,750000,0,primary sludge,wastewater treatment plant,grab,SESF120522,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821051,artic-v5.3.2_400,AMPLICON,577,1890363139,PRJNA957477,SAMN37205585,SARS-CoV-2: wastewater surveillance,616992197,VERILY_WW,2023-08-07,Ceres Nanotrap Microbiome A,public,"sra,activ_sars2_vcf,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542782,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_177-230807.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-16T12:44:00Z,3,VLT_177-230807,Verily Life Sciences,SRP433461,131000,24,post grit removal,wastewater treatment plant,composite,177-230807,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
