Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,purpose_of_ww_sequencing,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_jurisdiction,ww_surv_target_1_known_present,ww_surv_target_1
SRR25209869,AMPLICON,272,27063007,PRJNA992940,SAMN36377587,SARS-CoV-2: wastewater surveillance,9213173,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"fastq,activ_sars2_vcf,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX20957020,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Malvern East,36821,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36821,WEHI,SRP448241,NA,24,raw wastewater,composite,SCR2,yes,SARS-CoV-2
SRR25209870,AMPLICON,272,98100830,PRJNA992940,SAMN36377586,SARS-CoV-2: wastewater surveillance,30884354,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"activ_sars2_vcf,fastq,sra,run.zq","ncbi,gs,s3","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",SRX20957019,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Gardiners Creek Main Relieving - Ashwood,36819,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,36819,WEHI,SRP448241,NA,24,raw wastewater,composite,GCR061,yes,SARS-CoV-2
SRR25209871,AMPLICON,272,262303,PRJNA992940,SAMN36377585,SARS-CoV-2: wastewater surveillance,156355,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20957018,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Richmond Main - South Yarra,36817,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36817,WEHI,SRP448241,NA,24,raw wastewater,composite,RMD001A,yes,SARS-CoV-2
SRR25209872,AMPLICON,272,100846004,PRJNA992940,SAMN36377584,SARS-CoV-2: wastewater surveillance,30114052,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX20957017,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Epsom Road Main - Kensington,36813,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,36813,WEHI,SRP448241,NA,24,raw wastewater,composite,EPS005,yes,SARS-CoV-2
SRR25209873,AMPLICON,272,87685125,PRJNA992940,SAMN36377583,SARS-CoV-2: wastewater surveillance,28085872,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX20957016,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Melbourne Main - Port Melbourne,36811,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,36811,WEHI,SRP448241,NA,24,raw wastewater,composite,MMS001,yes,SARS-CoV-2
SRR25209874,AMPLICON,272,1158815,PRJNA992940,SAMN36377582,SARS-CoV-2: wastewater surveillance,439794,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20957015,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Hobsons Bay Main - Albert Park,36809,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36809,WEHI,SRP448241,NA,24,raw wastewater,composite,HBM021,yes,SARS-CoV-2
SRR25209875,AMPLICON,272,84984479,PRJNA992940,SAMN36377581,SARS-CoV-2: wastewater surveillance,26845554,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,s3,gs","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX20957014,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Mentone Intercepting - Braeside,36807,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36807,WEHI,SRP448241,NA,24,raw wastewater,composite,MIS001,yes,SARS-CoV-2
SRR25209876,AMPLICON,272,1668085,PRJNA992940,SAMN36377580,SARS-CoV-2: wastewater surveillance,692485,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20957013,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Frankston Main - Carrum Downs,36801,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36801,WEHI,SRP448241,NA,24,raw wastewater,composite,FRN19,yes,SARS-CoV-2
SRR25209877,AMPLICON,271,49439,PRJNA992940,SAMN36377382,SARS-CoV-2: wastewater surveillance,80981,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-22,public,"fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20957012,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Leopold Pump Station - South East Geelong,34787,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,34787,WEHI,SRP448241,NA,72,raw wastewater,composite,BWSP025,yes,SARS-CoV-2
SRR25209878,AMPLICON,271,41976015,PRJNA992940,SAMN36377579,SARS-CoV-2: wastewater surveillance,12298447,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"sra,fastq,activ_sars2_vcf,run.zq","s3,gs,ncbi","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX20957011,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Cranbourne Main Dandenong South,36797,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36797,WEHI,SRP448241,NA,24,raw wastewater,composite,CRB002,yes,SARS-CoV-2
