Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR14655195,AMPLICON,193,68142645,PRJEB85606,SAMEA117687880,42260880,IKIM - UK-ESSEN,2022,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,gs,s3","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056664,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:53:00Z,1,SAMEA117687880,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208865,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208865
ERR14655196,AMPLICON,183,32889496,PRJEB85606,SAMEA117687879,21346773,IKIM - UK-ESSEN,2022,public,"fastq,run.zq,sra,activ_sars2_vcf","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056665,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:46:00Z,1,SAMEA117687879,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208864,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208864
ERR14655197,AMPLICON,196,45622682,PRJEB85606,SAMEA117687878,28675624,IKIM - UK-ESSEN,2022,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",2025-02-24,2025-02-24,2025-02-24,ERX14056666,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:52:00Z,1,SAMEA117687878,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208863,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208863
ERR14655198,AMPLICON,223,61173357,PRJEB85606,SAMEA117687877,38366125,IKIM - UK-ESSEN,2022,public,"sra,activ_sars2_vcf,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056667,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:50:00Z,1,SAMEA117687877,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208862,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208862
ERR14655199,AMPLICON,103,25916202,PRJEB85606,SAMEA117687876,14219049,IKIM - UK-ESSEN,2022,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056668,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:23:00Z,1,SAMEA117687876,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208861,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208861
ERR14655200,AMPLICON,208,72876474,PRJEB85606,SAMEA117687875,45115549,IKIM - UK-ESSEN,2022,public,"run.zq,fastq,sra,activ_sars2_vcf","ncbi,s3,gs","gs.us-east1,ncbi.public,gs.US,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056669,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:22:00Z,1,SAMEA117687875,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208860,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208860
ERR14655201,AMPLICON,112,24187353,PRJEB85606,SAMEA117687874,14386204,IKIM - UK-ESSEN,2022,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2025-02-24,2025-02-24,2025-02-24,ERX14056670,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-14T03:40:00Z,1,SAMEA117687874,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208859,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208859
ERR14655202,AMPLICON,155,49560040,PRJEB85606,SAMEA117687873,29783262,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056671,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:49:00Z,1,SAMEA117687873,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208858,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:989-208858
ERR14655203,AMPLICON,89,4857687,PRJEB85606,SAMEA117687872,2381448,IKIM - UK-ESSEN,2022,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056672,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-25T00:00:00Z,2025-03-06T13:54:00Z,1,SAMEA117687872,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208857,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208857
ERR14655204,AMPLICON,199,16278439,PRJEB85606,SAMEA117687871,7455650,IKIM - UK-ESSEN,2022,public,"sra,fastq,run.zq,activ_sars2_vcf","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056673,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:47:00Z,1,SAMEA117687871,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208856,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208856
