Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_disease,HOST,host_subject_id,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR30037525,AMPLICON,293,2301551,PRJNA1141947,SAMN42913216,SARS-CoV-2: clinical or host-associated,737684,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2022-02-07,public,"sra,fastq,run.zq,activ_sars2_vcf","s3,ncbi,gs","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX25513028,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,72,Illumina HiSeq 2000,NA,saliva,PID-1842-72-S1_S46,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:44:00Z,1,72-S1,SRP523077
SRR30037526,AMPLICON,292,2201582,PRJNA1141947,SAMN42913215,SARS-CoV-2: clinical or host-associated,712585,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2022-02-12,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX25513027,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,47,Illumina HiSeq 2000,NA,saliva,PID-1842-47-S1_S45,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,47-S1,SRP523077
SRR30037527,AMPLICON,294,6011722,PRJNA1141947,SAMN42913214,SARS-CoV-2: clinical or host-associated,1825042,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2021-07-12,public,"fastq,activ_sars2_vcf,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRX25513026,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,173,Illumina HiSeq 2000,NA,saliva,PID-1842-173-S2_S63,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,173-S2,SRP523077
SRR30037528,AMPLICON,284,6764123,PRJNA1141947,SAMN42913213,SARS-CoV-2: clinical or host-associated,2552898,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2021-02-21,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,ncbi,gs","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX25513025,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,166,Illumina HiSeq 2000,NA,stool,PID-1488-166-F1_S346,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,166-F1,SRP523077
SRR30037529,AMPLICON,291,1020814,PRJNA1141947,SAMN42913212,SARS-CoV-2: clinical or host-associated,378667,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2021-11-11,public,"fastq,sra,activ_sars2_vcf,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX25513024,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,165,Illumina HiSeq 2000,NA,saliva,PID-1842-165-S1_S42,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,165-S1,SRP523077
SRR30037530,AMPLICON,295,17584985,PRJNA1141947,SAMN42913211,SARS-CoV-2: clinical or host-associated,5245078,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2021-11-02,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX25513023,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,93,Illumina HiSeq 2000,NA,saliva,PID-1842-93-S1_S57,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,93-S1,SRP523077
SRR30037531,AMPLICON,295,175101646,PRJNA1141947,SAMN42913210,SARS-CoV-2: clinical or host-associated,63756507,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2021-11-26,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",SRX25513022,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,75,Illumina HiSeq 2000,NA,stool,PID-1488-75-F3_S288,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:46:00Z,1,75-F3,SRP523077
SRR30037532,AMPLICON,280,3350930,PRJNA1141947,SAMN42913233,SARS-CoV-2: clinical or host-associated,1305921,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2022-02-11,public,"fastq,sra,run.zq,activ_sars2_vcf","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRX25513021,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,123,Illumina HiSeq 2000,NA,saliva,PID-1488-123-S3_S313,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,123-S3,SRP523077
SRR30037533,AMPLICON,289,10342480,PRJNA1141947,SAMN42913232,SARS-CoV-2: clinical or host-associated,3935950,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2022-02-09,public,"run.zq,fastq,activ_sars2_vcf,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX25513020,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,135,Illumina HiSeq 2000,NA,saliva,PID-1488-135-S3_S315,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,135-S3,SRP523077
SRR30037534,AMPLICON,289,8646572,PRJNA1141947,SAMN42913231,SARS-CoV-2: clinical or host-associated,3216998,QUADRAM INSTITUTE BIOSCIENCE,"Quadram Institute Bioscience\, Norwich",2022-01-28,public,"run.zq,sra,fastq,activ_sars2_vcf","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX25513019,United Kingdom,Europe,United Kingdom: Norfolk,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,123,Illumina HiSeq 2000,NA,saliva,PID-1488-123-S1_S312,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2024-10-31T00:00:00Z,2024-07-30T10:45:00Z,1,123-S1,SRP523077
